run_num	trial_num	hand	key_yes	key_no	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	1	1.0	13	2	True	0	15	0				148.00090391677804	0	148.00028437492438	3	-9.26279329159297	True
1	1	left	4	3	1	1.0	13	2	True	15	30	2	21.8;25.8	early;early	8;12	163.00063766678795	0	163.000067333458	4	0.1473328750580549	True
2	0	left	4	3	1	1.0	13	2	True	0	15	0				43.000929166795686	0	43.00027183350176	3	0.3399408333934843	True
2	1	left	4	3	1	1.0	13	2	True	15	30	1	21.8	early	8.0	58.00057541672141	0	58.00002708332613	4	0.3686544583179056	True
3	0	left	4	3	1	1.0	13	2	True	0	15	0				148.00073170824908	0	148.00017224997282	3	0.514924333197996	True
3	1	left	4	3	1	1.0	13	2	True	15	30	1	17.8	early	4.0	163.00058991648257	0	163.00003029149957	4	0.4530752499122172	True
4	0	left	4	3	1	1.0	13	2	True	0	15	0				113.00086741661652	0	113.00025420845486	4	1.821357625070959	False
4	1	left	4	3	1	1.0	13	2	True	15	30	2	18.8;26.2	early;late	5;12	128.00057566654868	0	128.0000313750934	4	0.3703043332789093	True
5	0	left	4	3	1	1.0	13	2	True	0	15	2	7.2;8.8	late;early	8;10	183.00074333325028	0	183.000191208208	4	0.4703918334562331	True
5	1	left	4	3	1	1.0	13	2	True	15	30	0				198.00056770839728	0	198.0000365001615	3	0.4831183750648051	True
10	0	right	1	2	1	1.0	13	2	True	0	15	3	2.8;9.2;10.2	early;late;late	4;10;11	113.00073283328676	0	113.00018337508664	2	0.8924005832523108	False
10	1	right	1	2	1	1.0	13	2	True	15	30	0				128.0005568750203	0	128.00001650000922	2	0.6171660001855344	True
11	0	right	1	2	1	1.0	13	2	True	0	15	1	4.2	late	5.0	78.00081254146062	0	78.00022454163991	2	0.9332139999605716	False
11	1	right	1	2	1	1.0	13	2	True	15	30	0				93.00061408337206	0	93.00004554144108	2	1.4312445833347738	True
12	0	right	1	2	1	1.0	13	2	True	0	15	0				43.00068566645496	0	43.00015866640024	2	1.4891790831461549	True
12	1	right	1	2	1	1.0	13	2	True	15	30	1	18.8	early	5.0	58.00058625009842	0	58.00002024997957	1	0.5899596251547337	True
13	0	right	1	2	1	1.0	13	2	True	0	15	0				113.00071062496863	0	113.00017137499526	2	1.734316166723147	True
13	1	right	1	2	1	1.0	13	2	True	15	30	2	17.8;26.2	early;late	4;12	128.0005795415491	0	128.000033874996	1	0.3712677918374538	True
25	0	right	1	2	1	1.0	13	2	True	0	15	0				148.00082245841622	0	148.00021937512793	2	0.6640740830916911	True
25	1	right	1	2	1	1.0	13	2	True	15	30	1	24.2	late	10.0	163.00069495826028	0	163.0000303334091	1	0.6580174167174846	True
26	0	left	4	3	1	1.0	13	2	True	0	15	1	6.2	late	7.0	43.001068958314136	0	43.000338666606694	4	0.7010600415524095	True
26	1	left	4	3	1	1.0	13	2	True	15	30	0				58.000628291629255	0	58.000049374997616	3	0.44251900003291667	True
