run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	1	2	left	0	0	right	easy	(3, 4)	2	3	[(2, 3), (1, 3), (1, 2), (2, 2), (2, 1), (1, 1)]	[(2, 3), (1, 3), (1, 2), (2, 2), (0, 3), (0, 2)]	[(2, 3), (1, 3)]	[(1, 2), (2, 2)]	[(2, 1), (1, 1)]	True	7	4	3	0.5	0.0	7.5	8.000621708342806	0	8.00062270835042	1	1.5362436664290726	True
1	1	2	right	1	1	right	easy	(3, 4)	2	3	[(1, 3), (0, 1), (1, 1), (2, 3), (2, 1), (1, 0)]	[(1, 3), (0, 1), (1, 1), (2, 3), (1, 2), (0, 0)]	[(1, 3), (0, 1)]	[(1, 1), (2, 3)]	[(2, 1), (1, 0)]	True	7	4	3	0.5	7.5	15.0	15.500064874999223	0	15.500065999804065	0		False
1	1	2	left	0	2	right	hard	(4, 4)	3	3	[(1, 0), (0, 2), (3, 2), (0, 0), (3, 1), (0, 1), (3, 0), (3, 3), (2, 2)]	[(2, 1), (2, 3), (1, 2), (0, 0), (3, 1), (0, 1), (3, 0), (3, 3), (2, 2)]	[(1, 0), (0, 2), (3, 2)]	[(0, 0), (3, 1), (0, 1)]	[(3, 0), (3, 3), (2, 2)]	True	7	4	3	0.5	15.0	22.5	23.00007599988021	0	23.000076916534457	2	1.0244361662771553	False
1	1	2	left	0	3	right	hard	(4, 4)	3	3	[(2, 3), (1, 1), (0, 2), (2, 1), (3, 3), (0, 3), (3, 1), (0, 1), (1, 0)]	[(2, 3), (1, 1), (0, 2), (2, 1), (3, 3), (0, 3), (1, 3), (1, 2), (2, 0)]	[(2, 3), (1, 1), (0, 2)]	[(2, 1), (3, 3), (0, 3)]	[(3, 1), (0, 1), (1, 0)]	True	7	4	3	0.5	22.5	30.0	30.50007254164666	0	30.500073458300903	1	0.9319776666816324	True
3	1	2	left	0	0	right	easy	(3, 4)	2	3	[(0, 0), (0, 2), (0, 1), (1, 0), (1, 2), (2, 0)]	[(0, 0), (0, 2), (0, 1), (1, 0), (0, 3), (1, 1)]	[(0, 0), (0, 2)]	[(0, 1), (1, 0)]	[(1, 2), (2, 0)]	True	7	4	3	0.5	0.0	7.5	148.000253791688	0	148.0002547497861	1	0.9296102500520648	True
3	1	2	left	0	1	right	easy	(3, 4)	2	3	[(2, 1), (1, 0), (0, 0), (2, 2), (1, 2), (1, 1)]	[(2, 1), (1, 0), (0, 1), (2, 0), (1, 2), (1, 1)]	[(2, 1), (1, 0)]	[(0, 0), (2, 2)]	[(1, 2), (1, 1)]	True	7	4	3	0.5	7.5	15.0	155.50005554175004	0	155.50007312488742	1	1.3601006667595357	True
3	1	2	right	1	2	right	hard	(4, 4)	3	3	[(2, 2), (1, 1), (0, 0), (1, 2), (1, 0), (2, 3), (0, 2), (1, 3), (2, 1)]	[(2, 2), (1, 1), (0, 0), (1, 2), (1, 0), (2, 3), (3, 3), (3, 2), (2, 0)]	[(2, 2), (1, 1), (0, 0)]	[(1, 2), (1, 0), (2, 3)]	[(0, 2), (1, 3), (2, 1)]	True	7	4	3	0.5	15.0	22.5	163.00006245821714	0	163.0000646249391	1	2.259908083593473	False
3	1	2	left	0	3	right	hard	(4, 4)	3	3	[(3, 0), (3, 2), (3, 1), (2, 0), (3, 3), (2, 2), (1, 2), (1, 0), (2, 1)]	[(2, 3), (0, 0), (0, 2), (2, 0), (3, 3), (2, 2), (1, 2), (1, 0), (2, 1)]	[(3, 0), (3, 2), (3, 1)]	[(2, 0), (3, 3), (2, 2)]	[(1, 2), (1, 0), (2, 1)]	True	7	4	3	0.5	22.5	30.0	170.50005412497558	0	170.50005499995314	1	0.8525386250112206	True
3	1	2	right	1	0	right	easy	(3, 4)	2	3	[(0, 2), (2, 2), (2, 3), (1, 2), (1, 3), (0, 1)]	[(0, 2), (2, 2), (2, 3), (1, 2), (0, 3), (1, 1)]	[(0, 2), (2, 2)]	[(2, 3), (1, 2)]	[(1, 3), (0, 1)]	True	7	4	3	0.5	0.0	7.5	8.000268208328635	0	8.000269250012934	2	1.370300291571766	True
3	1	2	left	0	1	right	easy	(3, 4)	2	3	[(1, 3), (2, 1), (1, 1), (2, 3), (0, 3), (0, 1)]	[(1, 3), (2, 1), (1, 1), (2, 3), (2, 0), (2, 2)]	[(1, 3), (2, 1)]	[(1, 1), (2, 3)]	[(0, 3), (0, 1)]	True	7	4	3	0.5	7.5	15.0	15.500060791615397	0	15.500069999834524	1	1.417266958160326	True
