run_num	trial_num	trial_dur	iti_dur	display_trial_feedback	trial_type	start_time	end_time	real_start_time	start_ttl	start_ttl_time
7	0	1	0	False	right	0	1	78.00017666677013	0	78.00017766677774
7	1	1	0	False	left	1	2	79.02917916676961	0	79.02918029180728
7	2	1	0	False	right	2	3	80.05592962517403	0	80.05593079188839
7	3	1	0	False	left	3	4	81.08266245853156	0	81.08266354189254
7	4	1	0	False	right	4	5	82.1098387085367	0	82.10984000004828
7	5	1	0	False	left	5	6	83.13659812510014	0	83.13659916678444
7	6	1	0	False	right	6	7	84.16352316690609	0	84.16352425003424
7	7	1	0	False	left	7	8	85.19037325005047	0	85.19037433364429
7	8	1	0	False	right	8	9	86.21751062502153	0	86.21751166693866
7	9	1	0	False	left	9	10	87.24428158369847	0	87.24428262514994
7	10	1	0	False	right	10	11	88.27114262501709	0	88.2711439167615
7	11	1	0	False	left	11	12	89.29787337500602	0	89.29787450004369
7	12	1	0	False	right	12	13	90.32486291695386	0	90.32486400008202
7	13	1	0	False	left	13	14	91.351623875089	0	91.35162500012666
7	14	1	0	False	right	14	15	92.3785502917599	0	92.37855133367702
7	15	1	0	False	left	15	16	93.40548508358188	0	93.40548612503336
7	16	1	0	False	right	16	17	94.43216216680594	0	94.43216316681357
7	17	1	0	False	left	17	18	95.4592739585787	0	95.45927504193968
7	18	1	0	False	right	18	19	96.48624354181813	0	96.4862446251791
7	19	1	0	False	left	19	20	97.51290929177776	0	97.51291037513874
7	20	1	0	False	right	20	21	98.53970816684888	0	98.53970933356322
7	21	1	0	False	left	21	22	99.56667483365165	0	99.56667583365925
7	22	1	0	False	right	22	23	100.59352595871314	0	100.5935270418413
7	23	1	0	False	left	23	24	101.62029195856304	0	101.620293041924
7	24	1	0	False	right	24	25	102.64728162507528	0	102.64728270866908
7	25	1	0	False	left	25	26	103.67417425010352	0	103.67417533369736
7	26	1	0	False	right	26	27	104.70099616679364	0	104.70099720871076
7	27	1	0	False	left	27	28	105.72801520861684	0	105.728016291745
7	28	1	0	False	right	28	29	106.75496804178692	0	106.75496950000525
7	29	1	0	False	left	29	30	107.78153508366086	0	107.781536166789
9	0	1	0	False	right	0	1	43.00038137496449	0	43.000382374972105
9	1	1	0	False	left	1	2	44.03395604179241	0	44.03395712492056
9	2	1	0	False	right	2	3	45.06095912493765	0	45.06096016662195
9	3	1	0	False	left	3	4	46.087569541763514	0	46.08757062489167
9	4	1	0	False	right	4	5	47.114471124950796	0	47.11447220807895
9	5	1	0	False	left	5	6	48.1414639998693	0	48.141464999876916
9	6	1	0	False	right	6	7	49.16826137481257	0	49.16826245817356
9	7	1	0	False	left	7	8	50.1951142498292	0	50.19511533319019
9	8	1	0	False	right	8	9	51.222046208102256	0	51.22204729169607
9	9	1	0	False	left	9	10	52.24942133319564	0	52.24942245823331
9	10	1	0	False	right	10	11	53.275765208061785	0	53.275766249978915
9	11	1	0	False	left	11	12	54.30271254177205	0	54.30271358322352
9	12	1	0	False	right	12	13	55.32972633326426	0	55.32972749997862
9	13	1	0	False	left	13	14	56.356509499950334	0	56.35651058307849
9	14	1	0	False	right	14	15	57.38331970828585	0	57.38332074997015
9	15	1	0	False	left	15	16	58.41010787501	0	58.41010887501761
9	16	1	0	False	right	16	17	59.43740625004284	0	59.43740737484768
9	17	1	0	False	left	17	18	60.463934999890625	0	60.463936124928296
9	18	1	0	False	right	18	19	61.49093379173428	0	61.49093483318575
9	19	1	0	False	left	19	20	62.51808858313598	0	62.518089916789904
9	20	1	0	False	right	20	21	63.544626583112404	0	63.54462766670622
9	21	1	0	False	left	21	22	64.57134675001726	0	64.57134783314541
9	22	1	0	False	right	22	23	65.5984792499803	0	65.59848024998792
9	23	1	0	False	left	23	24	66.62529187486507	0	66.62529287487268
9	24	1	0	False	right	24	25	67.65208483324386	0	67.65208591660485
9	25	1	0	False	left	25	26	68.67897499981336	0	68.67897608317435
9	26	1	0	False	right	26	27	69.70605199993588	0	69.70605304162018
9	27	1	0	False	left	27	28	70.73288983316161	0	70.7328908748459
9	28	1	0	False	right	28	29	71.75979549996555	0	71.75979654164985
9	29	1	0	False	left	29	30	72.78655729163438	0	72.78655837499537
