trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim
0	read	2	0.5	0.0	2.5	shampoo     
1	read	2	0.5	2.5	5.0	pencil      
2	read	2	0.5	5.0	7.5	cow         
3	read	2	0.5	7.5	10.0	corn        
4	read	2	0.5	10.0	12.5	windmill    
5	read	2	0.5	12.5	15.0	gym         
6	read	2	0.5	15.0	17.5	fish        
7	read	2	0.5	17.5	20.0	trumpet     
8	read	2	0.5	20.0	22.5	weed        
9	read	2	0.5	22.5	25.0	dog         
10	read	2	0.5	25.0	27.5	violin      
11	read	2	0.5	27.5	30.0	scissors    
