trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim
0	read	2	0.5	0.0	2.5	toothbrush  
1	read	2	0.5	2.5	5.0	dog         
2	read	2	0.5	5.0	7.5	chicken     
3	read	2	0.5	7.5	10.0	soap        
4	read	2	0.5	10.0	12.5	button      
5	read	2	0.5	12.5	15.0	flag        
6	read	2	0.5	15.0	17.5	waterfall   
7	read	2	0.5	17.5	20.0	brush       
8	read	2	0.5	20.0	22.5	peach       
9	read	2	0.5	22.5	25.0	gorilla     
10	read	2	0.5	25.0	27.5	hat         
11	read	2	0.5	27.5	30.0	leg         
