trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim
0	read	2	0.5	0.0	2.5	suitcase    
1	read	2	0.5	2.5	5.0	comb        
2	read	2	0.5	5.0	7.5	ear         
3	read	2	0.5	7.5	10.0	paintbrush  
4	read	2	0.5	10.0	12.5	dog         
5	read	2	0.5	12.5	15.0	flag        
6	read	2	0.5	15.0	17.5	axe         
7	read	2	0.5	17.5	20.0	game        
8	read	2	0.5	20.0	22.5	refrigerator
9	read	2	0.5	22.5	25.0	pumpkin     
10	read	2	0.5	25.0	27.5	toy         
11	read	2	0.5	27.5	30.0	gun         
