,hand,trial_dur,iti_dur,run_number,display_trial_feedback,stim,stim_dur,trial_type,start_time,end_time
0,None,14,1,1,False,flexion extension,1,None,0,14
1,None,14,1,1,False,flexion extension,1,None,15,29
