task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
silent_word	sword	silent_word_01.tsv	5	30	0	35
rest	rest	rest_01.tsv	5	30	35	70
odd_even	odev	odd_even_01.tsv	5	30	70	105
n_back	nbko	n_back_01.tsv	5	30	105	140
