task_name	task_code	target_file	instruction_dur	start_time	end_time
tongue_movement	tongue	tongue_movement_08.tsv	5	0	35
rest	rest	rest_30s.tsv	5	35	70
flexion_extension	flexexten	flexion_extension_08.tsv	5	70	105
n_back	nbko	n_back_08.tsv	5	105	140
verb_generation	verbgen	verb_generation_08.tsv	5	140	175
