task_name	task_code	target_file	instruction_dur	start_time	end_time
rest	rest	rest_30s.tsv	5	0	35
n_back	nbko	n_back_02.tsv	5	35	70
flexion_extension	flexexten	flexion_extension_02.tsv	5	70	105
verb_generation	verbgen	verb_generation_02.tsv	5	105	140
tongue_movement	tongue	tongue_movement_02.tsv	5	140	175
