task_name,task_iter,task_num,num_trials,target_num,target_file,start_time,end_time,instruct_dur
n_back,1,5,12,04,n_back_30sec_04.csv,0,35,5
visual_search,1,1,12,04,visual_search_30sec_04.csv,35,70,5
flexion_extension,1,2,1,04,flexion_extension_30sec_04.csv,70,105,5
rest,1,7,1,04,rest_30sec_04.csv,105,140,5
finger_sequence,1,3,8,04,finger_sequence_30sec_04.csv,140,175,5
semantic_prediction,1,6,4,04,semantic_prediction_30sec_04.csv,175,210,5
theory_of_mind,1,4,2,04,theory_of_mind_30sec_04.csv,210,245,5
