task_name	task_code	target_file	instruction_dur	start_time	end_time
n_back	nbko	n_back_03.tsv	5	0	35
verb_generation	verbgen	verb_generation_03.tsv	5	35	70
tongue_movement	tongue	tongue_movement_03.tsv	5	70	105
rest	rest	rest_30s.tsv	5	105	140
flexion_extension	flexexten	flexsion_extension_03.tsv	5	140	175
