trial_num	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time
0	5.8	0.2	False	WAR IS THE RESULT OF MISTRUST AND LACK OF UNDERSTANDING BETWEEN PEOPLE	0.0	6.0
1	5.8	0.2	False	THE WINDSHIELD GLASS IS SHATTERPROOF AND PLEXIGLAS IS USED IN THE CABIN	6.0	12.0
2	5.8	0.2	False	THIS WAS DONE WITH FULL KNOWLEDGE THAT THERE WOULD BE NO EPIDEMIC	12.0	18.0
3	5.8	0.2	False	COPIES OF THIS LETTER WERE MADE AVALIABLE TO THE PRESS AND PUBLIC	18.0	24.0
4	5.8	0.2	False	THE CONTINUING MODERNIZATION OF THESE FORCES IS A COSTLY BUT NECESSARY PROCESS	24.0	30.0
