trial_num	hand	key_yes	key_no	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions
0	left	4	3	1	1.0	13	2	True	0	15	2	6.2;8.8	late;early	7;10
1	left	4	3	1	1.0	13	2	True	15	30	0	None	None	None
