trial_num	trial_dur	iti_dur	condition	stim	start_time	end_time
0	5.8	0.2	sentences	IN THE STARLIGHT HE COULD SEE THE TREES STRIPPED OF THEIR LEAVES	0.0	6.0
1	5.8	0.2	sentences	ANNE WAITED UNTIL THE DOOR HAD SLAMMED AND PICKED UP THE COFFEEPOT	6.0	12.0
2	5.8	0.2	sentences	SOMEONE HAD MOVED BEYOND THE RANGE OF THE LIGHT FROM THE WINDOW	12.0	18.0
3	5.8	0.2	sentences	WINSTON TOOK THE CLOTHESBRUSH OUT OF THE CLOSET AND WENT TO WORK	18.0	24.0
4	5.8	0.2	sentences	HIS WIFE WAS IN DELICATE HEALTH AND NURSING AN INFANT WITH MEASLES	24.0	30.0
