,trial_type,trial_dur,iti_dur,delay_dur,dot_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,circle_radius,xys_stim,xys_prob
0,False,6,0.5,0.5,0.75,1,right,True,0.0,6.0,5,"[[-4.8468480505903795, -4.66778342701974], [-2.2107570230001716, -1.5140101764750469], [-2.076740185417758, 0.005526797815413431], [2.617745424330912, 3.5026876235645883], [3.47168482385524, 3.5320852020846747], [4.458955518721599, 4.638313499811201]]","[[4.458955518721599, 4.638313499811201], [-4.8468480505903795, -4.66778342701974]]"
1,True,6,0.5,0.5,0.75,1,right,True,6.5,12.5,5,"[[-4.771867164095375, -4.886917234206283], [-4.411006153197031, -2.5162302961764773], [-4.262577000052517, -0.6542971313620658], [-0.8629693930982532, 1.4646781707371765], [-0.7061121573551343, 2.3356521044435388], [3.710968706467563, 2.8739555051775074]]","[[-4.771867164095375, -4.886917234206283], [-4.411006153197031, -2.5162302961764773]]"
2,False,6,0.5,0.5,0.75,1,right,True,13.0,19.0,5,"[[-1.1826533394513317, -4.675596945022777], [0.19431744137584506, -3.0086494271273456], [0.21765917152867686, -2.2139427376650334], [1.1278068846984892, 1.6402976387155732], [2.9935836138029313, 2.2061693937700824], [3.75684526310274, 3.559127796500409]]","[[2.9935836138029313, 2.2061693937700824], [1.1278068846984892, 1.6402976387155732]]"
3,True,6,0.5,0.5,0.75,1,right,True,19.5,25.5,5,"[[-0.5223406298534128, -2.872317288522014], [0.7390895000514366, 0.5780672629055417], [0.9601633843587898, 0.6559990926078321], [1.3027637384984958, 0.7747425772176362], [2.3191782159459438, 3.067371628256968], [2.6187921603141175, 4.245515212589542]]","[[0.7390895000514366, 0.5780672629055417], [0.9601633843587898, 0.6559990926078321]]"
