task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
tongue_movement	tongue	tongue_movement_07.tsv	5	30	0	35
finger_sequence	fingseq	finger_sequence_07.tsv	5	30	35	70
action_observation	actobserv	action_observation_07.tsv	5	30	70	105
auditory_narrative	audnarr	auditory_narrative_07.tsv	5	30	105	140
rest	rest	rest_07.tsv	5	30	140	175
theory_of_mind	tom	theory_of_mind_07.tsv	5	30	175	210
reading	read	reading_sentences_07.tsv	5	30	210	245
verb_generation	vrbgen	verb_generation_read_07.tsv	5	30	245	280
n_back	nbko	n_back_07.tsv	5	30	280	315
verb_generation	vrbgen	verb_generation_generate_07.tsv	5	30	315	350
demand_grid	dmgrd	demand_grid_07.tsv	5	30	350	385
