task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
finger_sequence	fingseq	finger_sequence_04.tsv	5	30	0	35
rest	rest	rest_04.tsv	5	30	35	70
verb_generation	vrbgen	verb_generation_generate_04.tsv	5	30	70	105
verb_generation	vrbgen	verb_generation_read_04.tsv	5	30	105	140
auditory_narrative	audnarr	auditory_narrative_04.tsv	5	30	140	175
action_observation	actobserv	action_observation_04.tsv	5	30	175	210
theory_of_mind	tom	theory_of_mind_04.tsv	5	30	210	245
demand_grid	dmgrd	demand_grid_04.tsv	5	30	245	280
reading	read	reading_sentences_04.tsv	5	30	280	315
n_back	nbko	n_back_04.tsv	5	30	315	350
tongue_movement	tongue	tongue_movement_04.tsv	5	30	350	385
