task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
auditory_narrative	audnarr	auditory_narrative_08.tsv	5	30	0	35
finger_sequence	fingseq	finger_sequence_08.tsv	5	30	35	70
verb_generation	vrbgen	verb_generation_read_08.tsv	5	30	70	105
n_back	nbko	n_back_08.tsv	5	30	105	140
verb_generation	vrbgen	verb_generation_generate_08.tsv	5	30	140	175
theory_of_mind	tom	theory_of_mind_08.tsv	5	30	175	210
action_observation	actobserv	action_observation_08.tsv	5	30	210	245
reading	read	reading_sentences_08.tsv	5	30	245	280
rest	rest	rest_08.tsv	5	30	280	315
demand_grid	dmgrd	demand_grid_08.tsv	5	30	315	350
tongue_movement	tongue	tongue_movement_08.tsv	5	30	350	385
