task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
action_observation	actobserv	action_observation_05.tsv	5	30	0	35
tongue_movement	tongue	tongue_movement_05.tsv	5	30	35	70
verb_generation	vrbgen	verb_generation_read_05.tsv	5	30	70	105
theory_of_mind	tom	theory_of_mind_05.tsv	5	30	105	140
demand_grid	dmgrd	demand_grid_05.tsv	5	30	140	175
finger_sequence	fingseq	finger_sequence_05.tsv	5	30	175	210
auditory_narrative	audnarr	auditory_narrative_05.tsv	5	30	210	245
rest	rest	rest_05.tsv	5	30	245	280
verb_generation	vrbgen	verb_generation_generate_05.tsv	5	30	280	315
n_back	nbko	n_back_05.tsv	5	30	315	350
reading	read	reading_sentences_05.tsv	5	30	350	385
