,label,knot,session_list,condition_name,media,extracted,video_start,video_end,stim_action,stim_control,hand,trial_dur,iti_dur,run_number,display_trial_feedback,start_time,end_time
0,movie,baron,1,knot,video,1,0,14,knotActionBaron.mov,knotControlBaron.mov,,15,0,5,False,0,15
1,movie,casement,1,knot,video,1,0,14,knotActionCasement.mov,knotControlCasement.mov,,15,0,5,False,15,30
