,stim,trial_type,trial_dur,iti_dur,delay_dur,digit_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,prob_stim
0,8 1 3 2 4 6 ,False,6,0.5,0.5,0.75,1,right,True,0.0,6.0,2 3
1,7 4 5 6 3 2 ,False,6,0.5,0.5,0.75,1,right,True,6.5,12.5,8 6 
2,9 8 5 4 7 2 ,True,6,0.5,0.5,0.75,1,right,True,13.0,19.0,9 4
3,5 6 1 7 8 9 ,True,6,0.5,0.5,0.75,1,right,True,19.5,25.5,5 7
