,stim,trial_type,trial_dur,iti_dur,delay_dur,digit_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,prob_stim
0,1 8 3 9 7 6 ,False,8,0.5,1,1,1,right,True,0.0,8.0,5 4 
1,3 2 4 7 8 1 ,True,8,0.5,1,1,1,right,True,8.5,16.5,3 1
2,2 7 4 3 6 9 ,False,8,0.5,1,1,1,right,True,17.0,25.0,2 5 
3,9 3 2 6 8 1 ,True,8,0.5,1,1,1,right,True,25.5,33.5,2 6
