,stim,trial_type,trial_dur,iti_dur,delay_dur,digit_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,prob_stim
0,7 5 3 2 9 6 ,False,6,0.5,0.5,0.75,1,right,True,0.0,6.0,6 1 
1,2 7 8 6 4 3 ,True,6,0.5,0.5,0.75,1,right,True,6.5,12.5,2 6
2,3 1 2 6 4 8 ,True,6,0.5,0.5,0.75,1,right,True,13.0,19.0,3 1
3,7 3 4 2 6 9 ,False,6,0.5,0.5,0.75,1,right,True,19.5,25.5,6 4
