,stim,trial_type,trial_dur,iti_dur,delay_dur,digit_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,prob_stim
0,9 4 7 3 2 6 ,False,6,0.5,0.5,0.75,1,right,True,0.0,6.0,6 5 
1,1 3 5 9 6 4 ,True,6,0.5,0.5,0.75,1,right,True,6.5,12.5,5 9
2,5 9 3 7 8 2 ,False,6,0.5,0.5,0.75,1,right,True,13.0,19.0,2 4 
3,9 2 3 7 1 8 ,True,6,0.5,0.5,0.75,1,right,True,19.5,25.5,2 1
