,stim,trial_type,trial_dur,iti_dur,delay_dur,digit_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,prob_stim
0,9 4 1 6 3 8 ,True,6,0.5,0.5,0.75,1,right,True,0.0,6.0,3 8
1,3 1 2 9 7 4 ,False,6,0.5,0.5,0.75,1,right,True,6.5,12.5,5 9 
2,9 4 1 3 8 6 ,False,6,0.5,0.5,0.75,1,right,True,13.0,19.0,3 4
3,8 7 6 2 9 4 ,True,6,0.5,0.5,0.75,1,right,True,19.5,25.5,2 9
