,stim,trial_type,trial_dur,iti_dur,delay_dur,digit_dur,prob_dur,hand,display_trial_feedback,start_time,end_time,prob_stim
0,5 4 3 6 8 7 ,False,6,0.5,0.5,0.75,1,right,True,0.0,6.0,3 5
1,2 8 4 1 3 7 ,True,6,0.5,0.5,0.75,1,right,True,6.5,12.5,2 3
2,7 5 1 3 6 8 ,False,6,0.5,0.5,0.75,1,right,True,13.0,19.0,5 4 
3,1 7 6 8 4 2 ,True,6,0.5,0.5,0.75,1,right,True,19.5,25.5,7 6
