,hand,trial_dur,iti_dur,run_number,display_trial_feedback,trial_type,stim,start_time,end_time
0,None,14,0.5,1,False,action,knotActionRosin.mov,0.0,14.0
1,None,14,0.5,1,False,control,knotControlRosin.mov,14.5,28.5
