,hand,trial_dur,iti_dur,run_number,display_trial_feedback,trial_type,stim,start_time,end_time
0,None,14,1,7,False,action,knotActionAdage.mov,0,14
1,None,14,1,7,False,control,knotControlAdage.mov,15,29
