run_num	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	0		14	1	False	knotActionBrigand.mov	0	15	215.0002304166555	0	215.00023137498647
1	1		14	1	False	knotControlBrigand.mov	15	30	230.00002783339005	0	230.0000352916541
1	0		14	1	False	knotActionBrigand.mov	0	15	215.0002670417307	0	215.00026795826852
1	1		14	1	False	knotControlBrigand.mov	15	30	230.0000319998944	0	230.0000333749922
1	0		14	1	False	knotActionAdage.mov	0	15	358.00525650009513	0	358.0052575832233
1	1		14	1	False	knotControlAdage.mov	15	30	373.0000331667252	0	373.00003429176286
13	0		14	1	False	knotActionCornice.mov	0	15	218.0002952083014	0	218.00029616686516
13	1		14	1	False	knotControlCornice.mov	15	30	233.0000708750449	0	233.00008016685024
14	0		14	1	False	knotActionFlora.mov	0	15	288.00034374999814	0	288.00034470832907
14	1		14	1	False	knotControlFlora.mov	15	30	303.0000754999928	0	303.000084833242
1	0		14	1	False	knotActionAdage.mov	0	15	393.0002341250038	1105	0.2250591250049183
1	1		14	1	False	knotControlAdage.mov	15	30	408.00004479166455	1139	0.0652486249964567
1	0		14	1	False	knotActionAdage.mov	0	15	393.00021433332586	94	114.45750720833166
1	1		14	1	False	knotControlAdage.mov	15	30	408.0000407916668	94	129.45733495832974
1	0		14	1	False	knotActionAdage.mov	0	15	393.00023212499946	1	393.0002330833304
1	1		14	1	False	knotControlAdage.mov	15	30	408.0000263333277	1	408.00002741666685
1	0		14	1	False	knotActionAdage.mov	0	15	393.00023029166186	461	45.62538433333975
1	1		14	1	False	knotControlAdage.mov	15	30	408.0000618333361	476	8.666172500001267
1	0		14	1	False	knotActionAdage.mov	0	15	393.00022737500694	406	0.4664907499973196
1	1		14	1	False	knotControlAdage.mov	15	30	408.0000373750008	421	0.0737699166711536
2	0		14	1	False	knotActionAdage.mov	0	15	428.0002228333251	274	164.3292663333268
2	1		14	1	False	knotControlAdage.mov	15	30	443.00002374999895	274	179.32906733332493
1	0		14	1	False	knotActionAdage.mov	0	15	183.0002153749956	223	0.2029785833219648
1	1		14	1	False	knotControlAdage.mov	15	30	198.00002937499812	239	0.1785673749982379
1	0		14	1	False	knotActionAdage.mov	0	15	393.00022595832706	406	0.0353685000009136
1	1		14	1	False	knotControlAdage.mov	15	30	408.00001708333	419	0.5789872500026831
1	0		14	1	False	knotActionPurser.mov	0	15	183.00022345833713	227	0.7456688750025933
1	1		14	1	False	knotControlPurser.mov	15	30	198.0000368750043	243	0.1292864583374466
1	0		14	1	False	knotActionGadfly.mov	0	15	113.00029445833206	127	0.6400488750005024
1	1		14	1	False	knotControlGadfly.mov	15	30	128.00008354166494	147	0.1440680416708346
1	0		14	1	False	knotActionMutton.mov	0	15	183.00023425000109	381	0.0328680416641873
1	1		14	1	False	knotControlMutton.mov	15	30	198.00005362500087	418	0.1893407499956083
2	0		14	1	False	knotActionGadfly.mov	0	15	43.00022358333808	89	0.347320208340534
2	1		14	1	False	knotControlGadfly.mov	15	30	58.00003795833618	109	0.7325633750006091
1	0		14	1	False	knotActionMutton.mov	0	15	78.00020887499704	147	0.1325279583252268
1	1		14	1	False	knotControlMutton.mov	15	30	93.0000224999967	172	0.3664624583325349
1	0		14	1	False	knotActionGadfly.mov	0	15	113.00021529167134	317	0.0844610833228216
1	1		14	1	False	knotControlGadfly.mov	15	30	128.0000165833335	355	0.3300999583225348
2	0		14	1	False	knotActionGarret.mov	0	15	253.00020391666476	441	0.0169367916605551
2	1		14	1	False	knotControlGarret.mov	15	30	268.00001962499664	471	0.4158895416694577
3	0		14	1	False	knotActionMutton.mov	0	15	323.00020754166326	527	0.092764958339103
3	1		14	1	False	knotControlMutton.mov	15	30	338.0000283333284	563	0.1440167916734935
4	0		14	1	False	knotActionGadfly.mov	0	15	78.00025016666768	133	0.1897996666666586
4	1		14	1	False	knotControlGadfly.mov	15	30	93.00005537499965	148	0.1853012499996111
1	0		14	1	False	knotActionGarret.mov	0	15	393.0002337916667	717	0.1463651250014663
1	1		14	1	False	knotControlGarret.mov	15	30	408.0000272083271	735	0.1742586666732677
2	0		14	1	False	knotActionMutton.mov	0	15	288.00022370833904	544	0.2802961666675401
2	1		14	1	False	knotControlMutton.mov	15	30	303.0000398333359	579	0.1541828333356534
1	0		14	1	False	knotActionGadfly.mov	0	15	78.00022141667432	154	0.4685171666642418
1	1		14	1	False	knotControlGadfly.mov	15	30	93.0000264166738	186	0.241374541670666
1	0		14	1	False	knotActionGarret.mov	0	15	218.00023704166233	435	0.3775444999919273
1	1		14	1	False	knotControlGarret.mov	15	30	233.0000461666641	465	0.4865181666536955
2	0		14	1	False	knotActionMutton.mov	0	15	8.00021895833197	22	0.2293346250080503
2	1		14	1	False	knotControlMutton.mov	15	30	23.00002429167216	61	0.0455742083431687
1	0		14	1	False	knotActionPlacard.mov	0	15	8.000224041665206	21	0.0475427083438262
1	1		14	1	False	knotControlPlacard.mov	15	30	23.000021541665777	59	0.037824458326213
2	0		14	1	False	knotActionPurser.mov	0	15	43.00024345832935	105	0.3635742916667368
2	1		14	1	False	knotControlPurser.mov	15	30	58.000043291656766	145	0.3196135833277367
1	0		14	1	False	knotActionGadfly.mov	0	15	428.00024712499	960	0.3318929583329009
1	1		14	1	False	knotControlGadfly.mov	15	30	443.0000305833237	993	0.2441858749953098
2	0		14	1	False	knotActionGarret.mov	0	15	428.00025204166013	978	0.4351086666720221
2	1		14	1	False	knotControlGarret.mov	15	30	443.00002816667256	1003	0.3241968333168188
3	0		14	1	False	knotActionMutton.mov	0	15	428.0002351250005	975	0.0705713750066934
3	1		14	1	False	knotControlMutton.mov	15	30	443.00001629166945	1007	0.3747759166726609
4	0		14	1	False	knotActionPlacard.mov	0	15	43.0002151249937	91	0.1574205416545737
4	1		14	1	False	knotControlPlacard.mov	15	30	58.00002137500269	123	0.3396881666703848
5	0		14	1	False	knotActionPurser.mov	0	15	148.00023620833235	295	0.3289400000066962
5	1		14	1	False	knotControlPurser.mov	15	30	163.0000379166595	321	0.5244203749898588
6	0		14	1	False	knotActionAdage.mov	0	15	183.0002282916539	323	0.556556499999715
6	1		14	1	False	knotControlAdage.mov	15	30	198.00003287500294	347	0.11666791664902121
