run_num	trial_num	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	correct	rt	hand	key_yes	key_no
1	0	1	1.0	13	2	True	0	15	1	8.2	late	9.0	5.000831208424643	0	5.000235166749917	1.0	0	1.3810097918612882			
1	1	1	1.0	13	2	True	15	30	0				20.00087712495588	0	20.000023958389647	1.0	0	1.6946657500229776			
1	0	1	1.0	13	2	True	0	15	2	4.8;7.8	early;early	6;9	5.000938541837968	0	5.000286458409391	1.0	1	0.7492664583260193			
1	1	1	1.0	13	2	True	15	30	0				20.00067175005097	0	20.000033291755244	2.0	1	0.6054021250456572			
1	0	1	1.0	13	2	True	0	15	0				75.00079666660167	0	75.0002136665862	2.0	1	1.4932280000066385			
1	1	1	1.0	13	2	True	15	30	2	22.2;23.2	late;late	8;9	90.00067179161124	0	90.00002804165706	1.0	1	1.10564762505237			
1	0	1	1.0	13	2	True	0	15	0				8.00080608332064	0	8.00023033330217	1.0	0	1.9721764165442437			
1	1	1	1.0	13	2	True	15	30	2	17.8;25.8	early;early	4;12	23.000569333322343	0	23.000036458368413	1.0	1	1.0004224583972243			
1	0	1	1.0	13	2	True	0	15	0				8.000870041549206	0	8.000279041589238	2.0	1	1.4297156250104308			
1	1	1	1.0	13	2	True	15	30	2	17.8;25.8	early;early	4;12	23.000729499966837	0	23.00007499998901	1.0	1	1.3102442499948663			
1	0	1	1.0	13	2	True	0	15	0				78.00079333328176	0	78.00024979165755	2.0	1	1.9189585417043415			
1	1	1	1.0	13	2	True	15	30	2	19.2;20.8	late;early	5;7	93.00063187500928	0	93.0000672081951	1.0	1	0.6304652501130477			
1	0	1	1.0	13	2	True	0	15	1	7.2	late	8.0	8.000808958429843	0	8.00024566682987	1.0	1	1.4284131249878556			
1	1	1	1.0	13	2	True	15	30	0				23.00064641679637	0	23.00004445842933	2.0	1	1.4411759583745152			
1	0	1	1.0	13	2	True	0	15	1	7.2	late	8.0	8.000850875047036	0	8.000257458421402	0.0	0				
1	1	1	1.0	13	2	True	15	30	0				23.000630083377473	0	23.000046250061132	1.0	0	0.7028290417511016			
1	0	1	1.0	13	2	True	0	15	1	7.2	late	8.0	8.00084970833268	0	8.000249625067227	0.0	0				
1	1	1	1.0	13	2	True	15	30	0				23.000613958342	0	23.000057250028476	2.0	1	0.8156458331504837			
1	0	1	1.0	13	2	True	0	15	1	7.2	late	8.0	8.000832291669212	0	8.000235541723669	2.0	0	1.3560773333301768			
1	1	1	1.0	13	2	True	15	30	0				23.000597874983217	0	23.00004904170055	2.0	1	1.2885190834058449			
1	0	1	1.0	13	2	True	0	15	0				8.000831041717902	0	8.000239624991082	1.0	0	1.066099833231419			
1	1	1	1.0	13	2	True	15	30	2	20.8;24.2	early;late	7;10	23.000614208402112	0	23.000053208321333	2.0	0	0.5918514999793842			
1	0	1	1.0	13	2	True	0	15	3	3.8;9.2;11.2	early;late;late	5;10;12	78.00106604164466	0	78.00037408329081	1.0	1	1.5056161666288972			
1	1	1	1.0	13	2	True	15	30	0				93.0007536666235	0	93.00003949995153	2.0	1	1.1965908333659172			
1	0	1	1.0	13	2	True	0	15	3	3.8;9.2;11.2	early;late;late	5;10;12	78.00089691660833	0	78.00026770844124	2.0	0	0.6443399166455492			
1	1	1	1.0	13	2	True	15	30	0				93.00060445838608	0	93.0000488749938	2.0	1	0.6101213749498129			
1	0	1	1.0	13	2	True	0	15	0				43.00087116670329	0	43.00026641669683	1.0	0	1.6355735834222287			
1	1	1	1.0	13	2	True	15	30	3	18.2;20.2;25.2	late;late;late	4;6;11	58.000705583253875	0	58.00004083325621	1.0	1	0.6013204166665673			
1	0	1	1.0	13	2	True	0	15	0				43.000897750025615	0	43.00027312501334	0.0	0				
1	1	1	1.0	13	2	True	15	30	3	18.2;20.2;25.2	late;late;late	4;6;11	58.00061904161703	0	58.00002141657751	0.0	0				
1	0	1	1.0	13	2	True	0	15	0				43.001213874900714	0	43.00046320830006	2.0	1	1.0811018332606182			
1	1	1	1.0	13	2	True	15	30	3	18.2;20.2;25.2	late;late;late	4;6;11	58.000647166743875	0	58.000062291743234	1.0	1	1.5743794167647138			
1	0	1	1.0	13	2	True	0	15	2	2.8;8.2	early;late	4;9	113.00081620831044	0	113.00021287496202	0.0	0				
1	1	1	1.0	13	2	True	15	30	0				128.0007857499877	0	128.0000230417354	4.0	0	1.7920925000216812			
