run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	30.0	0.0	30.0	40.00021874997765	0.0	40.00021966663189
1	1.0	30.0	0.0	30.0	40.00020508328453	0.0	40.00020599993877
1	1.0	30.0	0.0	30.0	43.001161250052974	0.0	43.00116220815107
13	1.0	30.0	0.0	30.0	113.00018208334222	0.0	113.00018304190598
14	1.0	30.0	0.0	30.0	8.00023483322002	0.0	8.00023579178378
1	1.0	30.0	0.0	30.0	183.00016987500203	426.0	0.2565667083326843
1	1.0	30.0	0.0	30.0	183.00017912499607	11.0	3.8212840416672407
1	1.0	30.0	0.0	30.0	183.00016070833223	1.0	183.00016162500103
1	1.0	30.0	0.0	30.0	183.00016020833573	248.0	0.4763127499973052
1	1.0	30.0	0.0	30.0	183.00017954166833	182.0	0.1698335416658665
2	1.0	30.0	0.0	30.0	78.00016562499513	83.0	0.9372063749979134
1	1.0	30.0	0.0	30.0	43.00019220833201	50.0	0.0272510416689328
1	1.0	30.0	0.0	30.0	183.0001631666601	214.0	0.7312982916701003
1	1.0	30.0	0.0	30.0	323.00018983333575	415.0	0.5937586666623247
1	1.0	30.0	0.0	30.0	253.00019958333723	318.0	0.6393972083242261
1	1.0	30.0	0.0	30.0	428.0001832916605	1008.0	0.009244041670172
2	1.0	30.0	0.0	30.0	8.000170083338162	19.0	0.0165584583301097
1	1.0	30.0	0.0	30.0	43.0001648749967	99.0	0.198739541665418
1	1.0	30.0	0.0	30.0	183.00017191666848	497.0	0.3409945416642586
2	1.0	30.0	0.0	30.0	78.00015524999617	134.0	0.1913510000013047
3	1.0	30.0	0.0	30.0	113.00016970832804	207.0	0.3324020416621351
4	1.0	30.0	0.0	30.0	358.0001676666725	820.0	0.3082444999963627
1	1.0	30.0	0.0	30.0	253.00016704166777	477.0	0.1289192916665342
2	1.0	30.0	0.0	30.0	113.00019533333398	154.0	0.4166314583271742
1	1.0	30.0	0.0	30.0	358.0001718333515	907.0	0.0123689583269879
1	1.0	30.0	0.0	30.0	43.000249916658504	105.0	0.2655377500050235
2	1.0	30.0	0.0	30.0	218.00017975000085	417.0	0.1594327083294047
1	1.0	30.0	0.0	30.0	323.00019316666294	842.0	0.3497152083436958
2	1.0	30.0	0.0	30.0	113.0001762083266	286.0	0.3563825833261944
1	1.0	30.0	0.0	30.0	183.0001775833225	446.0	0.0207832500018412
2	1.0	30.0	0.0	30.0	393.0001959166693	917.0	0.205992208328098
3	1.0	30.0	0.0	30.0	183.00018595832807	421.0	0.0717460000014398
4	1.0	30.0	0.0	30.0	218.00018766665016	416.0	0.1759322916623205
5	1.0	30.0	0.0	30.0	253.0001829583343	476.0	0.2766026250028517
6	1.0	30.0	0.0	30.0	218.0001851249981	374.0	0.14776858333789278
