run_num	trial_num	trial_dur	iti_dur	display_trial_feedback	stim	condition	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	0	30	0	False	romance_01.mov	romance	0	30	110.00021541665774	0	110.00021641666537
1	0	30	0	False	romance_01.mov	romance	0	30	110.00040641671512	0	110.00040741672274
1	0	30	0	False	romance_01.mov	romance	0	30	8.000237833475694	0	8.000238791573793
1	0	30	0	False	romance_01.mov	romance	0	30	288.00027316669	0	288.0002740416676
1	0	30	0	False	romance_01.mov	romance	0	30	8.000250208424404	0	8.000251166755334
2	0	30	0	False	romance_02.mov	romance	0	30	8.000290125142783	0	8.000291083240882
1	0	30	0	False	romance_03.mov	romance	0	30	8.000221124850214	0	8.000222124857828
2	0	30	0	False	romance_04.mov	romance	0	30	8.000276875216514	0	8.000277874991298
3	0	30	0	False	romance_05.mov	romance	0	30	8.000287250149995	0	8.000288166571409
4	0	30	0	False	romance_06.mov	romance	0	30	8.000288000097498	0	8.000288916751742
5	0	30	0	False	romance_07.mov	romance	0	30	8.000399916665629	0	8.000400874996558
6	0	30	0	False	romance_08.mov	romance	0	30	8.000300041632727	0	8.000301000196487
7	0	30	0	False	romance_09.mov	romance	0	30	8.00071775005199	0	8.000718916766346
8	0	30	0	False	romance_10.mov	romance	0	30	8.00033887499012	0	8.000339791877195
9	0	30	0	False	romance_11.mov	romance	0	30	8.000258833169937	0	8.000259875087067
1	0	30	0	False	romance_12.mov	romance	0	30	8.000244166702032	0	8.000245125032961
2	0	30	0	False	romance_13.mov	romance	0	30	8.000252374913543	0	8.000253291567788
3	0	30	0	False	romance_14.mov	romance	0	30	8.000237833242863	0	8.000238791806623
4	0	30	0	False	romance_15.mov	romance	0	30	8.000206000171602	0	8.0002069582697
5	0	30	0	False	romance_16.mov	romance	0	30	8.000463583506644	0	8.000464541604742
13	0	30	0	False	romance_01.mov	romance	0	30	253.00025237514637	0	253.00025329180065
14	0	30	0	False	romance_02.mov	romance	0	30	358.000210291706	0	358.00021125003695
1	0	30	0	False	romance_01.mov	romance	0	30	253.0002143749989	614	0.2395604166667908
1	0	30	0	False	romance_01.mov	romance	0	30	253.00025337499392	15	23.466645583335776
1	0	30	0	False	romance_01.mov	romance	0	30	253.0002219583257	1	253.00022291666392
1	0	30	0	False	romance_01.mov	romance	0	30	253.0002038333332	353	0.4291767916656681
1	0	30	0	False	romance_01.mov	romance	0	30	253.0002242083283	254	0.7061570416626637
2	0	30	0	False	romance_01.mov	romance	0	30	43.00020724999922	42	0.4493373333243653
1	0	30	0	False	romance_01.mov	romance	0	30	8.000238916662056	7	0.9389323750001496
1	0	30	0	False	romance_01.mov	romance	0	30	253.00022454166177	278	0.6751210000002175
1	0	30	0	False	romance_08.mov	romance	0	30	253.0002504166696	307	0.3378294166614068
1	0	30	0	False	romance_04.mov	romance	0	30	428.000234083338	598	0.1695719583367463
1	0	30	0	False	romance_06.mov	romance	0	30	78.00022750000062	156	0.3453320833359612
2	0	30	0	False	romance_04.mov	romance	0	30	393.00024325000413	726	0.2421654583376948
1	0	30	0	False	romance_06.mov	romance	0	30	8.000245708331931	20	0.0141347916724043
1	0	30	0	False	romance_04.mov	romance	0	30	78.00021558333538	215	0.0888172083286917
2	0	30	0	False	romance_05.mov	romance	0	30	183.00021862499852	296	0.0360652500021387
3	0	30	0	False	romance_06.mov	romance	0	30	288.0002119166602	460	0.2718310833370196
4	0	30	0	False	romance_04.mov	romance	0	30	253.0002216249995	555	0.1944135833255131
1	0	30	0	False	romance_05.mov	romance	0	30	323.0002301249988	581	0.0640579999962938
2	0	30	0	False	romance_06.mov	romance	0	30	358.0002286250019	688	0.4599618333304534
1	0	30	0	False	romance_04.mov	romance	0	30	253.0002222500043	612	0.0192474166542524
1	0	30	0	False	romance_05.mov	romance	0	30	253.00024612501147	507	0.26011849999486
2	0	30	0	False	romance_06.mov	romance	0	30	148.00024779167143	251	0.3358507916709641
1	0	30	0	False	romance_07.mov	romance	0	30	43.00020662500174	107	0.1520819166762521
2	0	30	0	False	romance_08.mov	romance	0	30	8.000217624998186	20	0.334609083351097
1	0	30	0	False	romance_04.mov	romance	0	30	323.00022520832135	716	0.2671052916557528
2	0	30	0	False	romance_05.mov	romance	0	30	78.00022162499954	204	0.0024691250000614
3	0	30	0	False	romance_06.mov	romance	0	30	8.000212041661143	20	0.1455099583399715
4	0	30	0	False	romance_07.mov	romance	0	30	253.00024362499244	472	0.2106999166717287
5	0	30	0	False	romance_08.mov	romance	0	30	323.00027920833963	578	0.3543539999955101
6	0	30	0	False	romance_09.mov	romance	0	30	428.0002890833275	713	0.14393383331480436
