,hand,trial_dur,iti_dur,run_number,display_trial_feedback,trial_type,stim,start_time,end_time
0,None,14,1,1,False,action,knotActionRosin.mov,0,14
1,None,14,1,1,False,control,knotControlRosin.mov,15,29
