task_name,task_num,num_trials,target_num,num_sec,target_file,start_time,end_time,instruct_dur
sternberg_order,8,5,1,30,sternberg_order_30sec_01.csv,0,35,5
rest,9,1,,10,rest_10sec.csv,35,45,0
finger_sequence,7,5,1,30,finger_sequence_30sec_01.csv,45,80,5
rest,9,1,,10,rest_10sec.csv,80,90,0
sternberg_order,8,5,1,30,sternberg_order_30sec_01.csv,90,125,5
rest,9,1,,10,rest_10sec.csv,125,135,0
finger_sequence,7,5,1,30,finger_sequence_30sec_01.csv,135,170,5
rest,9,1,,10,rest_10sec.csv,170,180,0
