key_true	key_false	trial_type	trial_num	hand	trial_dur	iti_dur	story	question	condition	answer	story_dur	question_dur	display_trial_feedback	start_time	end_time
1	2	0	0	right	14	1	John told Mary that he had lost his keys. The  two of them searched the house with no luck.  Then Mary went outside to look in the car.  Suddenly John noticed his keys behind the sofa.	"By the time Mary comes in, John 
doesn't know where his keys are.

True or False "	belief	False	10	4	True	0	15
1	2	1	1	right	14	1	A biography describes the room as it was  in 1965. Originally the walls were covered  in dark wallpaper. By 1965 the paper had  been stripped and replaced with cream paint.	"The biography says that the room 
was light.

True or False"	photo	True	10	4	True	15	30
