run_num	trial_num	trial_dur	iti_dur	display_trial_feedback	start_time	end_time	location_1	location_2	real_start_time	start_ttl	start_ttl_time
1	0	30	0	False	0	30	FRONT-DOOR	LIVING-ROOM	393.0002919582184	358	0.3102520001120865
2	0	30	0	False	0	30	WASHROOM	LIVING-ROOM	113.00032970844768	103	0.810091333463788
3	0	30	0	False	0	30	BEDROOM	LIVING-ROOM	78.00026629166678	71	1.00624066661112
4	0	30	0	False	0	30	KITCHEN	LIVING-ROOM	8.000216291518882	8	0.3030863332096487
5	0	30	0	False	0	30	FRONT-DOOR	WASHROOM	323.00026241643354	294	0.7120584584772587
6	0	30	0	False	0	30	BEDROOM	FRONT-DOOR	183.0002268333919	167	0.403857416473329
7	0	30	0	False	0	30	KITCHEN	FRONT-DOOR	78.00024208356626	71	1.002974416827783
8	0	30	0	False	0	30	KITCHEN	BEDROOM	78.00022700009868	71	1.00491362484172
9	0	30	0	False	0	30	KITCHEN	WASHROOM	148.0002110833302	135	0.6086861668154597
10	0	30	0	False	0	30	BEDROOM	WASHROOM	253.0002130419016	231	0.0030073749367147
11	0	30	0	False	0	30	FRONT-DOOR	LIVING-ROOM	358.0002237497829	326	0.5208312082104385
12	0	30	0	False	0	30	WASHROOM	LIVING-ROOM	8.000228374963626	8	0.3084838751237839
13	0	30	0	False	0	30	BEDROOM	LIVING-ROOM	393.00023454171605	358	0.3011071251239627
14	0	30	0	False	0	30	KITCHEN	LIVING-ROOM	358.0002297083847	326	0.5033569999504834
15	0	30	0	False	0	30	FRONT-DOOR	WASHROOM	218.0001862084027	199	0.2020118334330618
16	0	30	0	False	0	30	BEDROOM	FRONT-DOOR	113.00022183358669	103	0.8017540832515806
