run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
14	1	2	left	0	2	right	hard	(4, 4)	3	3	[(3, 2), (2, 1), (0, 3), (3, 3), (3, 1), (2, 2), (3, 0), (2, 0), (1, 1)]	[(3, 2), (2, 1), (0, 3), (1, 3), (1, 2), (1, 0), (3, 0), (2, 0), (1, 1)]	[(3, 2), (2, 1), (0, 3)]	[(3, 3), (3, 1), (2, 2)]	[(3, 0), (2, 0), (1, 1)]	True	7	4	3	0.5	15.0	22.5	443.0000263333786	403	0.8020142500754446	1	1.3709500832483172	True
14	1	2	right	1	3	right	hard	(4, 4)	3	3	[(0, 3), (1, 2), (2, 2), (1, 1), (2, 3), (1, 3), (0, 2), (2, 1), (1, 0)]	[(0, 3), (1, 2), (2, 2), (2, 0), (3, 2), (3, 1), (0, 2), (2, 1), (1, 0)]	[(0, 3), (1, 2), (2, 2)]	[(1, 1), (2, 3), (1, 3)]	[(0, 2), (2, 1), (1, 0)]	True	7	4	3	0.5	22.5	30.0	450.5000247915741	410	0.603158500045538	1	1.074937958503142	False
15	1	2	left	0	0	right	easy	(3, 4)	2	3	[(0, 1), (1, 2), (1, 1), (0, 2), (1, 0), (1, 3)]	[(0, 1), (1, 2), (1, 1), (0, 2), (0, 3), (2, 1)]	[(0, 1), (1, 2)]	[(1, 1), (0, 2)]	[(1, 0), (1, 3)]	True	7	4	3	0.5	0.0	7.5	8.00023908354342	8	0.3017256667371839	1	0.7213880000635982	True
15	1	2	right	1	1	right	easy	(3, 4)	2	3	[(0, 3), (0, 1), (0, 2), (1, 1), (1, 0), (0, 0)]	[(0, 3), (0, 1), (0, 2), (1, 1), (1, 3), (2, 1)]	[(0, 3), (0, 1)]	[(0, 2), (1, 1)]	[(1, 0), (0, 0)]	True	7	4	3	0.5	7.5	15.0	15.50003229174763	15	0.1011602499056607	2	0.945478708250448	True
15	1	2	right	1	2	right	hard	(4, 4)	3	3	[(2, 3), (2, 0), (2, 1), (2, 2), (1, 0), (3, 1), (0, 0), (3, 0), (3, 3)]	[(2, 3), (2, 0), (2, 1), (2, 2), (1, 0), (3, 1), (1, 1), (3, 2), (1, 3)]	[(2, 3), (2, 0), (2, 1)]	[(2, 2), (1, 0), (3, 1)]	[(0, 0), (3, 0), (3, 3)]	True	7	4	3	0.5	15.0	22.5	23.00004216679372	21	1.0013984164688736	2	0.9865160000044852	True
15	1	2	right	1	3	right	hard	(4, 4)	3	3	[(1, 2), (3, 0), (0, 2), (3, 1), (0, 3), (0, 1), (2, 1), (3, 2), (2, 2)]	[(1, 2), (3, 0), (0, 2), (1, 1), (2, 0), (2, 3), (2, 1), (3, 2), (2, 2)]	[(1, 2), (3, 0), (0, 2)]	[(3, 1), (0, 3), (0, 1)]	[(2, 1), (3, 2), (2, 2)]	True	7	4	3	0.5	22.5	30.0	30.50004224991426	28	0.8015358750708401	2	1.2265345000196248	True
16	1	2	left	0	0	right	easy	(3, 4)	2	3	[(2, 2), (2, 3), (2, 1), (1, 3), (1, 2), (0, 3)]	[(2, 2), (2, 3), (2, 1), (1, 3), (2, 0), (1, 1)]	[(2, 2), (2, 3)]	[(2, 1), (1, 3)]	[(1, 2), (0, 3)]	True	7	4	3	0.5	0.0	7.5	393.00021358346567	358	0.30227037495933473	1	0.951393083203584	True
16	1	2	right	1	1	right	easy	(3, 4)	2	3	[(2, 3), (1, 2), (1, 1), (0, 2), (2, 2), (0, 1)]	[(2, 3), (1, 2), (1, 1), (0, 2), (2, 1), (1, 3)]	[(2, 3), (1, 2)]	[(1, 1), (0, 2)]	[(2, 2), (0, 1)]	True	7	4	3	0.5	7.5	15.0	400.5000370417256	365	0.10222829156555235	1	1.2443492917809635	False
16	1	2	left	0	2	right	hard	(4, 4)	3	3	[(2, 3), (2, 1), (0, 0), (2, 2), (1, 0), (3, 3), (0, 1), (3, 2), (2, 0)]	[(2, 3), (2, 1), (0, 0), (2, 2), (1, 0), (3, 3), (1, 2), (3, 1), (1, 1)]	[(2, 3), (2, 1), (0, 0)]	[(2, 2), (1, 0), (3, 3)]	[(0, 1), (3, 2), (2, 0)]	True	7	4	3	0.5	15.0	22.5	408.0000351667404	371	1.00202895863913	1	1.3628183333203197	True
16	1	2	right	1	3	right	hard	(4, 4)	3	3	[(2, 2), (0, 3), (3, 3), (1, 2), (2, 3), (0, 2), (1, 3), (1, 1), (0, 1)]	[(0, 0), (2, 1), (1, 0), (1, 2), (2, 3), (0, 2), (1, 3), (1, 1), (0, 1)]	[(2, 2), (0, 3), (3, 3)]	[(1, 2), (2, 3), (0, 2)]	[(1, 3), (1, 1), (0, 1)]	True	7	4	3	0.5	22.5	30.0	415.5000363334548	378	0.8020894166547805	1	0.8786801667883992	False
