run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	30.0	0.0	30.0	78.0002206666395	71.0	1.0095112083945423
2	1.0	30.0	0.0	30.0	393.0012481249869	357.0	0.3103274581953883
3	1.0	30.0	0.0	30.0	428.00021566660143	390.0	0.1068395834881812
4	1.0	30.0	0.0	30.0	113.00019929138944	103.0	0.8030777915846556
5	1.0	30.0	0.0	30.0	358.0002224163618	326.0	0.5120608331635594
6	1.0	30.0	0.0	30.0	218.0002363747917	199.0	0.2039421666413545
7	1.0	30.0	0.0	30.0	253.0001925835386	231.0	0.0032886248081922
8	1.0	30.0	0.0	30.0	183.00017341645432	167.0	0.4050679584033787
9	1.0	30.0	0.0	30.0	393.0002111250069	358.0	0.3087504582945257
10	1.0	30.0	0.0	30.0	218.0002060418483	199.0	0.2028749999590218
11	1.0	30.0	0.0	30.0	8.000206208089367	8.0	0.3206532914191484
12	1.0	30.0	0.0	30.0	288.0001737915445	262.0	0.9085334169212728
13	1.0	30.0	0.0	30.0	113.00021383352578	103.0	0.8015349581837654
14	1.0	30.0	0.0	30.0	393.0001775834244	358.0	0.303261750144884
15	1.0	30.0	0.0	30.0	183.0001976666972	167.0	0.4018045419361442
16	1.0	30.0	0.0	30.0	148.00031195860356	135.0	0.6020390000194311
