run_num	trial_num	trial_dur	iti_dur	display_trial_feedback	stim	condition	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	0	30	0	False	romance_01.mov	romance	0	30	43.00026183342561	40	0.1101878331974148
2	0	30	0	False	romance_02.mov	romance	0	30	183.00026145833544	166	0.4101111248601228
3	0	30	0	False	romance_03.mov	romance	0	30	218.00024462514557	199	0.2064327914267778
4	0	30	0	False	romance_04.mov	romance	0	30	183.00028837495483	166	0.4029867083299905
5	0	30	0	False	romance_05.mov	romance	0	30	428.0002473748754	390	0.1141203334555029
6	0	30	0	False	romance_06.mov	romance	0	30	43.00029437500052	40	0.1036523750517517
7	0	30	0	False	romance_07.mov	romance	0	30	8.000522708520293	8	0.3031855418812483
8	0	30	0	False	romance_08.mov	romance	0	30	113.00028445827776	103	0.8051164583303034
9	0	30	0	False	romance_09.mov	romance	0	30	43.0002421666868	40	0.1088446665089577
10	0	30	0	False	romance_10.mov	romance	0	30	183.0002730418928	167	0.4028681665658951
11	0	30	0	False	romance_11.mov	romance	0	30	288.0002244580537	262	0.920782416826114
12	0	30	0	False	romance_12.mov	romance	0	30	148.0002439164091	135	0.608659291639924
13	0	30	0	False	romance_13.mov	romance	0	30	323.000222083414	294	0.7008958749938756
14	0	30	0	False	romance_14.mov	romance	0	30	183.0002237916924	167	0.4047474998515099
15	0	30	0	False	romance_15.mov	romance	0	30	428.00024258345366	390	0.1024625413119793
16	0	30	0	False	romance_16.mov	romance	0	30	253.00022791675292	231	0.0019962084479629993
