run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	change_type	change_time	position_change	change_to	stim_original	stim_final	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
9	1	2	3	4	2	unimanual	3.25	0.5	True					2 4 2 4 1 2	2 4 2 4 1 2	7.5	11.25	330.5005531249917	0	330.5005541249993	1.0	0.4787676666674088
9	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	12.88	5.0	2.0	4 2 3 1 3 4	4 2 3 1 2 4	11.25	15.0	334.2505689166719	0	334.250569916665	1.0	0.404320812500373
9	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	16.62	5.0	3.0	3 2 3 4 2 4	3 2 3 4 3 4	15.0	18.75	338.0005418333312	0	338.000542875001	1.0	0.3714306736122428
9	1	2	3	4	5	unimanual	3.25	0.5	True					1 3 2 3 2 3	1 3 2 3 2 3	18.75	22.5	341.7505380833318	0	341.75053908332484	1.0	0.3397720486100297
9	1	2	3	4	6	unimanual	3.25	0.5	True					4 1 2 3 4 2	4 1 2 3 4 2	22.5	26.25	345.5005422499962	0	345.5005432499893	1.0	0.3867895972216502
9	1	2	3	4	7	unimanual	3.25	0.5	True	second_horizon	27.33	4.0	2.0	1 2 3 1 4 3	1 2 3 2 4 3	26.25	30.0	349.2505567499902	0	349.2505577499978	1.0	0.3842664444431041
10	1	2	3	4	0	unimanual	3.25	0.5	True	second_horizon	1.62	5.0	1.0	1 3 2 3 2 4	1 3 2 3 1 4	0.0	3.75	113.00071404167102	0	113.00071504166408	1.0	0.4113326250007958
10	1	2	3	4	1	unimanual	3.25	0.5	True					1 3 4 2 3 4	1 3 4 2 3 4	3.75	7.5	116.75054429167358	0	116.75054533332877	1.0	0.35975597222325933
10	1	2	3	4	2	unimanual	3.25	0.5	True					4 1 3 1 2 3	4 1 3 1 2 3	7.5	11.25	120.50055458332645	0	120.50055562501075	0.5	0.5873349416651763
10	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	13.42	6.0	2.0	3 1 4 3 1 4	3 1 4 3 1 2	11.25	15.0	124.25063316666638	0	124.25063420833612	1.0	0.47776149305476184
10	1	2	3	4	4	unimanual	3.25	0.5	True					1 3 2 4 1 2	1 3 2 4 1 2	15.0	18.75	128.00056112500897	0	128.0005622083263	1.0	0.3875365277781384
10	1	2	3	4	5	unimanual	3.25	0.5	True	first_horizon	21.46	6.0	4.0	3 1 2 3 2 1	3 1 2 3 2 4	18.75	22.5	131.7505456666695	0	131.75054670833924	0.8333333333333334	0.3637667916652087
10	1	2	3	4	6	unimanual	3.25	0.5	True					2 4 2 3 4 2	2 4 2 3 4 2	22.5	26.25	135.5006123750063	0	135.50061337499938	1.0	0.4550092638892238
10	1	2	3	4	7	unimanual	3.25	0.5	True	first_horizon	27.88	4.0	2.0	1 3 1 3 1 2	1 3 1 2 1 2	26.25	30.0	139.25059791667445	0	139.25059895832965	1.0	0.38455369444272947
