run_num	trial_num	trial_type	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback	noun	real_start_time	start_ttl	start_ttl_time
9	0	read	2	0.5	0.0	2.5	truck       	False	truck	218.00025050000113	0	218.0002514583321
9	1	read	2	0.5	2.5	5.0	carrot      	False	carrot	220.50005437499203	0	220.50005529166083
9	2	read	2	0.5	5.0	7.5	onion       	False	onion	223.00004183333655	0	223.0000427083287
9	3	read	2	0.5	7.5	10.0	peach       	False	peach	225.50005079167025	0	225.50005166666233
9	4	read	2	0.5	10.0	12.5	screw       	False	screw	228.0000420416618	0	228.0000435416732
9	5	read	2	0.5	12.5	15.0	button      	False	button	230.5000548333337	0	230.50005570832585
9	6	generate	2	0.5	15.0	17.5	donkey      	False	donkey	233.00005116667307	0	233.0000520416652
9	7	generate	2	0.5	17.5	20.0	soap        	False	soap	235.50004849999095	0	235.50004941665975
9	8	generate	2	0.5	20.0	22.5	umbrella    	False	umbrella	238.00004962499952	0	238.00005049999163
9	9	generate	2	0.5	22.5	25.0	towel       	False	towel	240.50004483333032	0	240.50004570833696
9	10	generate	2	0.5	25.0	27.5	basket      	False	basket	243.0000548333337	0	243.00005574998795
9	11	generate	2	0.5	27.5	30.0	snake       	False	snake	245.50005479167157	0	245.50005570832585
10	0	read	2	0.5	0.0	2.5	celery      	False	celery	8.000252916666795	0	8.000253874997725
10	1	read	2	0.5	2.5	5.0	cake        	False	cake	10.500029458329664	0	10.50003037499846
10	2	read	2	0.5	5.0	7.5	belt        	False	belt	13.000034166674595	0	13.00003508332884
10	3	read	2	0.5	7.5	10.0	ostrich     	False	ostrich	15.500026791662094	0	15.500027750007575
10	4	read	2	0.5	10.0	12.5	nose        	False	nose	18.0000357083336	0	18.000036666664528
10	5	read	2	0.5	12.5	15.0	shoulders  	False	shoulders	20.500036625002394	0	20.500037583333324
10	6	generate	2	0.5	15.0	17.5	waterfall   	False	waterfall	23.000028374997783	0	23.000029333328712
10	7	generate	2	0.5	17.5	20.0	watch       	False	watch	25.500038708327338	0	25.50003966667282
10	8	generate	2	0.5	20.0	22.5	finger      	False	finger	28.000030083334423	0	28.00003100000322
10	9	generate	2	0.5	22.5	25.0	ant         	False	ant	30.50003583333455	0	30.500036750003346
10	10	generate	2	0.5	25.0	27.5	girlfriend  	False	girlfriend	33.00003024999751	0	33.000031166666304
10	11	generate	2	0.5	27.5	30.0	boot        	False	boot	35.50003250000009	0	35.5000335000077
