,label,knot,session_list,condition_name,media,extracted,video_start,video_end,stim_action,stim_control,hand,trial_dur,iti_dur,run_number,display_trial_feedback,start_time,end_time
0,movie,simper,1,knot,video,1,0,14,knotActionSimper.mov,knotControlSimper.mov,,15,0,3,False,0,15
1,movie,arbor,2,knot,video,1,0,14,knotActionArbor.mov,knotControlArbor.mov,,15,0,3,False,15,30
