task_name,task_iter,task_num,num_trials,target_num,target_file,start_time,end_time,instruct_dur
romance_movie,1,9,1,11,romance_movie_30sec_11.csv,0,35,5
rest,1,8,1,11,rest_30sec_11.csv,35,70,5
flexion_extension,1,3,1,11,flexion_extension_30sec_11.csv,70,105,5
n_back,1,6,12,11,n_back_30sec_11.csv,105,140,5
action_observation_knots,1,2,2,11,action_observation_knots_30sec_11.csv,140,175,5
visual_search,1,1,12,11,visual_search_30sec_11.csv,175,210,5
theory_of_mind,1,5,2,11,theory_of_mind_30sec_11.csv,210,245,5
finger_sequence,1,4,8,11,finger_sequence_30sec_11.csv,245,280,5
semantic_prediction,1,7,4,11,semantic_prediction_30sec_11.csv,280,315,5
