trial_num	grid_sequence	modified_sequence	correct_side	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time
0	[(2, 0), (1, 0), (2, 1), (1, 1), (0, 0), (0, 1), (1, 2), (1, 3)]	[(1, 0), (2, 1), (1, 1), (0, 0), (0, 1), (1, 2), (1, 3), (2, 2)]	left	7	4	3	0.5	0.0	7.0
1	[(0, 1), (0, 0), (0, 2), (1, 2), (1, 3), (2, 2), (1, 1), (2, 3)]	[(0, 1), (0, 0), (0, 2), (1, 2), (1, 3), (2, 2), (1, 1), (0, 3)]	left	7	4	3	0.5	7.5	14.5
2	[(0, 2), (0, 3), (1, 2), (1, 3), (2, 2), (2, 3), (2, 1), (2, 0)]	[(0, 3), (1, 2), (1, 3), (2, 2), (2, 3), (2, 1), (2, 0), (1, 1)]	left	7	4	3	0.5	15.0	22.0
3	[(1, 2), (1, 1), (0, 1), (1, 0), (2, 0), (0, 0), (0, 2), (2, 1)]	[(1, 2), (1, 1), (0, 1), (1, 0), (2, 0), (0, 0), (0, 2), (1, 3)]	left	7	4	3	0.5	22.5	29.5
