run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
1	1	2	3	4	0	bimanual	3.25	0.5	True	4 1 4 2 4 1	0.0	3.75	5.0002036249497905	0	5.00020458328072	1.0	0.24937279861963665
1	1	2	3	4	1	bimanual	3.25	0.5	True	3 1 2 4 1 2	3.75	7.5	8.750015458324924	0	8.750016416655853	1.0	0.24370377778541297
1	1	2	3	4	2	bimanual	3.25	0.5	True	1 4 3 4 3 4	7.5	11.25	12.500028666690923	0	12.500029624905437	1.0	0.24593935416002446
1	1	2	3	4	3	bimanual	3.25	0.5	True	2 3 4 2 3 1	11.25	15.0	16.250021249987185	0	16.250022208318114	1.0	0.2347670347080566
1	1	2	3	4	4	bimanual	3.25	0.5	True	4 1 2 3 4 3	15.0	18.75	20.000028499984182	0	20.000029416638426	1.0	0.25671492361774045
1	1	2	3	4	5	bimanual	3.25	0.5	True	1 2 3 2 3 1	18.75	22.5	23.750018124934286	0	23.750019166735	1.0	0.2371388958223785
1	1	2	3	4	6	bimanual	3.25	0.5	True	3 4 2 3 4 2	22.5	26.25	27.500021916697733	0	27.500022916705348	1.0	0.26880242363161716
1	1	2	3	4	7	bimanual	3.25	0.5	True	2 4 3 2 4 2	26.25	30.0	31.25002683326602	0	31.250027833273634	0.8333333333333334	0.4153842222100745
