run_num	trial_num	trial_dur	iti_dur	display_trial_feedback	trial_type	start_time	end_time	real_start_time	start_ttl	start_ttl_time
10	0	1	0	False	right	0	1	288.0001514583273	0	288.00015245832765
10	1	1	0	False	left	1	2	289.03287999999884	0	289.0328810416613
10	2	1	0	False	right	2	3	290.0596393333253	0	290.05964037499507
10	3	1	0	False	left	3	4	291.08635058332584	0	291.0863515833262
10	4	1	0	False	right	4	5	292.113093583328	0	292.11309462499776
10	5	1	0	False	left	5	6	293.1402758749973	0	293.14027687499765
10	6	1	0	False	right	6	7	294.16693208332435	0	294.1669330833247
10	7	1	0	False	left	7	8	295.1940105416579	0	295.19401154165826
10	8	1	0	False	right	8	9	296.2209061666581	0	296.22090716665844
10	9	1	0	False	left	9	10	297.2475948333231	0	297.24759583332343
10	10	1	0	False	right	10	11	298.27457183332444	0	298.2745728333248
10	11	1	0	False	left	11	12	299.30150641666114	0	299.3015074583236
10	12	1	0	False	right	12	13	300.32821337499627	0	300.3282143333272
10	13	1	0	False	left	13	14	301.35521908332885	0	301.3552201249986
10	14	1	0	False	right	14	15	302.3822761666597	0	302.38227716666006
10	15	1	0	False	left	15	16	303.40886433332344	0	303.4088654583247
10	16	1	0	False	right	16	17	304.4358598749968	0	304.4358609166593
10	17	1	0	False	left	17	18	305.462806166659	0	305.4628071249972
10	18	1	0	False	right	18	19	306.4897678333291	0	306.48976879166
10	19	1	0	False	left	19	20	307.51644479166134	0	307.5164458333238
10	20	1	0	False	right	20	21	308.54338233332237	0	308.5433833749994
10	21	1	0	False	left	21	22	309.5701796666617	0	309.5701807500009
10	22	1	0	False	right	22	23	310.5972245416633	0	310.59722549999424
10	23	1	0	False	left	23	24	311.6241734166615	0	311.624174458324
10	24	1	0	False	right	24	25	312.6510413750002	0	312.6510424166627
10	25	1	0	False	left	25	26	313.67775766666455	0	313.6777586249955
10	26	1	0	False	right	26	27	314.70473066666455	0	314.704731708327
10	27	1	0	False	left	27	28	315.7315268749953	0	315.73152783332625
10	28	1	0	False	right	28	29	316.758382291664	0	316.75838329166436
10	29	1	0	False	left	29	30	317.78525887499563	0	317.785259874996
11	0	1	0	False	right	0	1	78.00020629166102	0	78.00020724999922
11	1	1	0	False	left	1	2	79.02912079166708	0	79.02912183333683
11	2	1	0	False	right	2	3	80.05611508333823	0	80.05611625000165
11	3	1	0	False	left	3	4	81.08309854166146	0	81.08309962500061
11	4	1	0	False	right	4	5	82.10969437500171	0	82.10969541666418
11	5	1	0	False	left	5	6	83.13673095833656	0	83.13673208333785
11	6	1	0	False	right	6	7	84.16369845833833	0	84.16369958333235
11	7	1	0	False	left	7	8	85.19063825000194	0	85.19063933333382
11	8	1	0	False	right	8	9	86.21747308333579	0	86.21747412499826
11	9	1	0	False	left	9	10	87.24421166666434	0	87.24421270833409
11	10	1	0	False	right	10	11	88.27108408333879	0	88.27108512500126
11	11	1	0	False	left	11	12	89.29821537499811	0	89.29821645833727
11	12	1	0	False	right	12	13	90.32471745833755	0	90.32471845833788
11	13	1	0	False	left	13	14	91.35180841666443	0	91.3518094999963
11	14	1	0	False	right	14	15	92.3786503750016	0	92.37865145833348
11	15	1	0	False	left	15	16	93.40580254166707	0	93.40580362499895
11	16	1	0	False	right	16	17	94.43237445833802	0	94.43237545833836
11	17	1	0	False	left	17	18	95.45940129166411	0	95.45940237500326
11	18	1	0	False	right	18	19	96.48624474999815	0	96.4862458333373
11	19	1	0	False	left	19	20	97.51299441666197	0	97.51299545833899
11	20	1	0	False	right	20	21	98.54002929166018	0	98.5400303333372
11	21	1	0	False	left	21	22	99.56661349999922	0	99.56661454166169
11	22	1	0	False	right	22	23	100.5935959999988	0	100.59359704166127
11	23	1	0	False	left	23	24	101.62039124999865	0	101.62039237499994
11	24	1	0	False	right	24	25	102.64752754166693	0	102.64752858333668
11	25	1	0	False	left	25	26	103.67443345833453	0	103.67443454166641
11	26	1	0	False	right	26	27	104.70111804166663	0	104.70111908333638
11	27	1	0	False	left	27	28	105.72802995833626	0	105.72803108333756
11	28	1	0	False	right	28	29	106.75492629166547	0	106.75492737499735
11	29	1	0	False	left	29	30	107.78191583333683	0	107.78191691666143
