run_num	trial_num	hand	key_yes	key_no	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	1	1.0	13	2	True	0	15	1	5.2	late	6.0	78.00074733333895	0	78.00018625000666	4	1.0099423749998095	True
1	1	left	4	3	1	1.0	13	2	True	15	30	0				93.00059333333776	0	93.00004379166784	3	0.7094825416716048	True
2	0	left	4	3	1	1.0	13	2	True	0	15	2	4.8;7.8	early;early	6;9	148.0006625833339	0	148.00016745833273	4	0.7390454583364772	True
2	1	left	4	3	1	1.0	13	2	True	15	30	0				163.0005870416644	0	163.00003604165977	3	0.3114603333378909	True
3	0	left	4	3	1	1.0	13	2	True	0	15	0				113.00070020833664	0	113.00016508333648	3	0.9040489583348972	True
3	1	left	4	3	1	1.0	13	2	True	15	30	1	23.2	late	9.0	128.00056066667457	0	128.00003154166916	4	0.3326582500012591	True
4	0	left	4	3	1	1.0	13	2	True	0	15	1	6.8	early	8.0	43.00081308333756	0	43.000221458336455	4	0.3364773749999585	True
4	1	left	4	3	1	1.0	13	2	True	15	30	0				58.0005688750025	0	58.00001991666795	3	0.3573491250062943	True
6	0	left	4	3	1	1.0	13	2	True	0	15	1	9.2	late	10.0	183.00069670833184	0	183.00017962499987	4	0.7173487083346117	True
6	1	left	4	3	1	1.0	13	2	True	15	30	0				198.00064441666473	0	198.00003791666677	3	0.3381644583350862	True
7	0	right	1	2	1	1.0	13	2	True	0	15	0				43.00069187500048	0	43.00017341666535	2	0.3813435833362746	True
7	1	right	1	2	1	1.0	13	2	True	15	30	2	18.2;19.8	late;early	4;6	58.00076045832975	0	58.00005087500176	1	0.2824117916679824	True
8	0	right	1	2	1	1.0	13	2	True	0	15	0				183.00079220833868	0	183.00021662499785	2	0.3186263749958016	True
8	1	right	1	2	1	1.0	13	2	True	15	30	2	23.8;25.2	early;late	10;11	198.00054775000172	0	198.0000277500003	1	0.2840099166642176	True
9	0	right	1	2	1	1.0	13	2	True	0	15	3	2.8;3.8;11.2	early;early;late	4;5;12	43.00068637500226	0	43.00017258333537	1	0.2870873333304189	True
9	1	right	1	2	1	1.0	13	2	True	15	30	0				58.00055900000007	0	58.00003679166548	2	0.2677819166638073	True
10	0	right	1	2	1	1.0	13	2	True	0	15	1	5.8	early	7.0	43.000779708323535	0	43.00021483332239	1	0.298258666669426	True
10	1	right	1	2	1	1.0	13	2	True	15	30	0				58.00073283332313	0	58.00004191666085	2	0.318444416661805	True
11	0	left	4	3	1	1.0	13	2	True	0	15	0				393.0008228750012	0	393.0002224166674	3	1.056065208329528	True
11	1	left	4	3	1	1.0	13	2	True	15	30	1	19.2	late	5.0	408.0005687916637	0	408.00002666666114	4	0.3460836250014836	True
