key_true	key_false	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	trial_type	num_stimuli	feedback_type	start_time	end_time
4	3	0	left	2	0.5	True	0	4	acc	0.0	2.5
4	3	1	left	2	0.5	True	1	4	acc	2.5	5.0
4	3	2	left	2	0.5	True	0	4	acc	5.0	7.5
4	3	3	left	2	0.5	True	0	8	acc	7.5	10.0
4	3	4	left	2	0.5	True	1	8	acc	10.0	12.5
4	3	5	left	2	0.5	True	1	8	acc	12.5	15.0
4	3	6	left	2	0.5	True	0	8	acc	15.0	17.5
4	3	7	left	2	0.5	True	0	4	acc	17.5	20.0
4	3	8	left	2	0.5	True	1	4	acc	20.0	22.5
4	3	9	left	2	0.5	True	0	4	acc	22.5	25.0
4	3	10	left	2	0.5	True	0	8	acc	25.0	27.5
4	3	11	left	2	0.5	True	0	4	acc	27.5	30.0
