task_name,task_iter,task_num,num_trials,target_num,target_file,start_time,end_time,instruct_dur
visual_search,1,1,12,16,visual_search_30sec_16.csv,0,35,5
action_observation_knots,1,2,2,16,action_observation_knots_30sec_16.csv,35,70,5
romance_movie,1,9,1,16,romance_movie_30sec_16.csv,70,105,5
flexion_extension,1,3,1,16,flexion_extension_30sec_16.csv,105,140,5
finger_sequence,1,4,8,16,finger_sequence_30sec_16.csv,140,175,5
rest,1,8,1,16,rest_30sec_16.csv,175,210,5
n_back,1,6,12,16,n_back_30sec_16.csv,210,245,5
semantic_prediction,1,7,4,16,semantic_prediction_30sec_16.csv,245,280,5
theory_of_mind,1,5,2,16,theory_of_mind_30sec_16.csv,280,315,5
