run_num	trial_num	hand	key_yes	key_no	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	1	1.0	13	2	True	0	15	2	3.8;8.8	early;early	5;10	8.001104958588257	0	8.000396749936044	4	1.8360157501883805	True
1	1	left	4	3	1	1.0	13	2	True	15	30	0				23.00066091679037	0	23.000037333462387	4	1.4403337500989437	False
2	0	left	4	3	1	1.0	13	2	True	0	15	3	4.2;6.8;9.8	late;early;early	5;8;11	183.00083737494424	0	183.00025054137225	0		False
2	1	left	4	3	1	1.0	13	2	True	15	30	0				198.00076416647065	0	198.00005879136737	4	0.8440162499900907	False
3	0	left	4	3	1	1.0	13	2	True	0	15	1	4.2	late	5.0	183.0007912081201	0	183.00021854182705	4	1.7550087918061763	True
3	1	left	4	3	1	1.0	13	2	True	15	30	0				198.00061204168017	0	198.00003887503408	3	0.951639041537419	True
9	0	right	1	2	1	1.0	13	2	True	0	15	0				113.00080450018868	0	113.00024029170164	2	1.08522183354944	True
9	1	right	1	2	1	1.0	13	2	True	15	30	3	20.2;22.2;23.8	late;late;early	6;8;10	128.00071212509647	0	128.0000486667268	1	0.5221303750295192	True
10	0	right	1	2	1	1.0	13	2	True	0	15	3	4.2;6.8;9.8	late;early;early	5;8;11	148.00084208347835	0	148.00024041673169	2	1.155949583509937	False
10	1	right	1	2	1	1.0	13	2	True	15	30	0				163.00069541670382	0	163.00005616690032	2	0.4377898331731558	True
11	0	right	1	2	1	1.0	13	2	True	0	15	3	2.8;4.8;8.2	early;early;late	4;6;9	8.000851541757584	0	8.000259708147496	2	0.7730122082866728	False
11	1	right	1	2	1	1.0	13	2	True	15	30	0				23.000851499848068	0	23.00004274980165	2	0.4658103750552982	True
