run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	change_type	change_time	position_change	change_to	stim_original	stim_final	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
4	1	2	3	4	2	unimanual	3.25	0.5	True					4 3 2 1 2 4	4 3 2 1 2 4	7.5	11.25	15.50058937491849	0	15.50059041636996	1.0	0.439746499992907
4	1	2	3	4	3	unimanual	3.25	0.5	True					4 3 4 3 2 1	4 3 4 3 2 1	11.25	15.0	19.250624416396025	0	19.250625416403636	1.0	0.3815454583382234
4	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	15.54	3.0	2.0	4 1 4 3 1 3	4 1 2 3 1 3	15.0	18.75	23.00056229135953	0	23.00056324992329	1.0	0.3817094513991226
4	1	2	3	4	5	unimanual	3.25	0.5	True	first_horizon	19.83	3.0	4.0	4 3 2 1 2 1	4 3 4 1 2 1	18.75	22.5	26.75058020814322	0	26.75058116647415	0.8333333333333334	0.4740163819709171
4	1	2	3	4	6	unimanual	3.25	0.5	True	first_horizon	24.67	5.0	3.0	1 2 1 4 2 4	1 2 1 4 3 4	22.5	26.25	30.500605499837548	0	30.50060649984516	1.0	0.4516830069866652
4	1	2	3	4	7	unimanual	3.25	0.5	True					4 1 2 4 3 2	4 1 2 4 3 2	26.25	30.0	34.250565791502595	0	34.250566833186895	1.0	0.4174784930267681
5	1	2	3	4	0	unimanual	3.25	0.5	True					1 3 1 3 1 2	1 3 1 3 1 2	0.0	3.75	8.000893041491508	0	8.000894083175808	1.0	0.3788591736229136
5	1	2	3	4	1	unimanual	3.25	0.5	True	second_horizon	5.38	5.0	1.0	4 3 2 4 3 2	4 3 2 4 1 2	3.75	7.5	11.750612499890847	0	11.750613499898463	1.0	0.4089040763598556
5	1	2	3	4	2	unimanual	3.25	0.5	True					2 1 2 4 1 3	2 1 2 4 1 3	7.5	11.25	15.50060374988243	0	15.50060470821336	1.0	0.4168453541739533
5	1	2	3	4	3	unimanual	3.25	0.5	True					1 3 4 1 2 3	1 3 4 1 2 3	11.25	15.0	19.25055912509561	0	19.250560166547075	0.8333333333333334	0.430565368073682
5	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	15.54	3.0	2.0	4 3 1 3 4 3	4 3 2 3 4 3	15.0	18.75	23.000565708149225	0	23.00056670815684	0.8333333333333334	0.4446640763975059
5	1	2	3	4	5	unimanual	3.25	0.5	True	first_horizon	21.46	6.0	4.0	1 3 2 4 2 3	1 3 2 4 2 4	18.75	22.5	26.750612208154052	0	26.750613291515037	0.6666666666666666	0.3527046180485437
5	1	2	3	4	6	unimanual	3.25	0.5	True	first_horizon	23.58	3.0	3.0	1 4 1 4 2 4	1 4 3 4 2 4	22.5	26.25	30.500606916379184	0	30.500607874942943	0.8333333333333334	0.415661243100961
5	1	2	3	4	7	unimanual	3.25	0.5	True					4 2 3 2 1 2	4 2 3 2 1 2	26.25	30.0	34.25053466646932	0	34.25053570815362	1.0	0.3799237777711823
6	1	2	3	4	0	unimanual	3.25	0.5	True					3 2 3 1 2 1	3 2 3 1 2 1	0.0	3.75	8.00179341668263	0	8.001794500043616	0.8333333333333334	0.4943354861267532
6	1	2	3	4	1	unimanual	3.25	0.5	True	first_horizon	5.92	5.0	2.0	4 3 1 4 1 3	4 3 1 4 2 3	3.75	7.5	11.750659166835248	0	11.750660166842865	0.1666666666666666	0.5922412749845535
6	1	2	3	4	2	unimanual	3.25	0.5	True					3 4 1 3 1 3	3 4 1 3 1 3	7.5	11.25	15.500649125082418	0	15.500650125090033	1.0	0.3670024166737373
6	1	2	3	4	3	unimanual	3.25	0.5	True					3 4 1 2 3 4	3 4 1 2 3 4	11.25	15.0	19.250641166698188	0	19.250642125029117	0.6666666666666666	0.3646300763745482
6	1	2	3	4	4	unimanual	3.25	0.5	True	first_horizon	15.54	2.0	3.0	2 4 2 4 1 3	2 3 2 4 1 3	15.0	18.75	23.00071304175071	0	23.00071404175833	0.8333333333333334	0.463946423609741
6	1	2	3	4	5	unimanual	3.25	0.5	True	second_horizon	19.29	3.0	3.0	2 1 4 2 1 3	2 1 3 2 1 3	18.75	22.5	26.750606666784737	0	26.750607708236203	1.0	0.4533922222520535
6	1	2	3	4	6	unimanual	3.25	0.5	True					3 2 4 1 2 4	3 2 4 1 2 4	22.5	26.25	30.500614624936137	0	30.500615583267063	1.0	0.3897470069738726
6	1	2	3	4	7	unimanual	3.25	0.5	True	second_horizon	26.79	3.0	2.0	1 3 1 3 1 2	1 3 2 3 1 2	26.25	30.0	34.250632541719824	0	34.25063354172744	1.0	0.4048056180666511
9	1	2	3	4	0	unimanual	3.25	0.5	True					3 4 1 3 1 4	3 4 1 3 1 4	0.0	3.75	78.000842416659	0	78.0008434583433	0.8333333333333334	0.539703368054082
9	1	2	3	4	1	unimanual	3.25	0.5	True	first_horizon	5.92	5.0	3.0	2 4 1 2 1 4	2 4 1 2 3 4	3.75	7.5	81.75062779150903	0	81.75062879151665	0.3333333333333333	0.7167612812481821
9	1	2	3	4	2	unimanual	3.25	0.5	True	first_horizon	10.21	6.0	4.0	3 2 4 2 1 2	3 2 4 2 1 4	7.5	11.25	85.50063525000587	0	85.50063625001349	0.8333333333333334	0.3977253750199452
9	1	2	3	4	3	unimanual	3.25	0.5	True					3 1 3 1 2 1	3 1 3 1 2 1	11.25	15.0	89.25057950010523	0	89.25058050011285	1.0	0.4314373125089332
9	1	2	3	4	4	unimanual	3.25	0.5	True					1 2 3 4 2 3	1 2 3 4 2 3	15.0	18.75	93.00062283338048	0	93.00062387506478	0.6666666666666666	0.3344566458448146
9	1	2	3	4	5	unimanual	3.25	0.5	True					4 1 2 3 2 4	4 1 2 3 2 4	18.75	22.5	96.7506135001313	0	96.75061454158276	1.0	0.4320134028093889
9	1	2	3	4	6	unimanual	3.25	0.5	True	second_horizon	24.67	6.0	2.0	2 3 4 3 4 3	2 3 4 3 4 2	22.5	26.25	100.50062291650102	0	100.50062391650864	0.8333333333333334	0.4392187291523441
9	1	2	3	4	7	unimanual	3.25	0.5	True	second_horizon	26.79	3.0	1.0	4 2 3 4 2 4	4 2 1 4 2 4	26.25	30.0	104.25058916653506	0	104.25059033324942	1.0	0.4847547500006233
10	1	2	3	4	0	unimanual	3.25	0.5	True	first_horizon	2.71	6.0	3.0	1 3 2 1 2 1	1 3 2 1 2 3	0.0	3.75	183.0007947499398	0	183.00079570850357	0.8333333333333334	0.4152755555308734
10	1	2	3	4	1	unimanual	3.25	0.5	True	first_horizon	6.46	6.0	3.0	3 1 4 2 1 4	3 1 4 2 1 3	3.75	7.5	186.75053945858963	0	186.75054045859724	0.3333333333333333	0.7095428195316344
10	1	2	3	4	2	unimanual	3.25	0.5	True					4 3 4 3 2 1	4 3 4 3 2 1	7.5	11.25	190.5005975835957	0	190.5005990001373	0.6666666666666666	0.4388667360957091
10	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	11.79	3.0	4.0	4 2 1 3 2 4	4 2 4 3 2 4	11.25	15.0	194.2505672918633	0	194.25056829187088	0.5	0.4589147221995517
10	1	2	3	4	4	unimanual	3.25	0.5	True					2 4 1 4 2 4	2 4 1 4 2 4	15.0	18.75	198.00058079184964	0	198.00058183353391	1.0	0.4233176596850778
10	1	2	3	4	5	unimanual	3.25	0.5	True					2 4 3 4 2 1	2 4 3 4 2 1	18.75	22.5	201.7505470835604	0	201.750548083568	1.0	0.4316486874983335
10	1	2	3	4	6	unimanual	3.25	0.5	True					1 2 1 3 2 3	1 2 1 3 2 3	22.5	26.25	205.50057066674344	0	205.50057170866057	1.0	0.4148966458548481
10	1	2	3	4	7	unimanual	3.25	0.5	True	second_horizon	27.88	5.0	1.0	2 4 2 4 2 3	2 4 2 4 1 3	26.25	30.0	209.25057604187168	0	209.2505770418793	1.0	0.5363015347005179
11	1	2	3	4	0	unimanual	3.25	0.5	True	first_horizon	2.17	5.0	1.0	2 4 1 4 3 2	2 4 1 4 1 2	0.0	3.75	148.00085604167543	0	148.0008570831269	0.8333333333333334	0.5039926041693737
11	1	2	3	4	1	unimanual	3.25	0.5	True					2 1 4 3 2 4	2 1 4 3 2 4	3.75	7.5	151.7506268331781	0	151.75062779174186	1.0	0.4562057222162063
11	1	2	3	4	2	unimanual	3.25	0.5	True					2 4 1 2 4 2	2 4 1 2 4 2	7.5	11.25	155.50055658305064	0	155.50055762496777	0.6666666666666666	0.39925205560090643
11	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	12.88	5.0	4.0	1 3 1 2 1 3	1 3 1 2 4 3	11.25	15.0	159.25056795822456	0	159.25056895823218	1.0	0.39548100003351766
11	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	15.54	3.0	4.0	4 3 1 2 4 3	4 3 4 2 4 3	15.0	18.75	163.00065191672184	0	163.00065291672945	0.6666666666666666	0.4784443471968795
11	1	2	3	4	5	unimanual	3.25	0.5	True	second_horizon	20.92	6.0	1.0	4 2 4 3 2 4	4 2 4 3 2 1	18.75	22.5	166.7506307081785	0	166.7506317498628	1.0	0.45768632635008544
11	1	2	3	4	6	unimanual	3.25	0.5	True					1 3 1 4 2 4	1 3 1 4 2 4	22.5	26.25	170.50055237486959	0	170.50055341655388	0.8333333333333334	0.4272188749940445
11	1	2	3	4	7	unimanual	3.25	0.5	True					3 1 2 4 3 2	3 1 2 4 3 2	26.25	30.0	174.25083916657604	0	174.25084024993703	0.5	0.729359302087687
