run_num	trial_num	hand	key_yes	key_no	trial_dur	iti_dur	story	question	options	trial_type	condition	story_dur	question_dur	text_height	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	14	1	"Jill had just moved into a new flat and bought curtains for her bedroom. After decorating, her best friend Lisa visited. Jill gave her a tour and asked, “How do you like my bedroom?”
“Those curtains are horrible,” Lisa said."""	Did Jill just move into a new flat?	Yes, No	1	control	10	4	1.25	True	0	15	43.00024762499379	0	43.00024862500141	4	2.5653052083362127	True
1	1	left	4	3	14	1	"Louise went to the butcher and asked, “Do you have any free-range chickens?”
The butcher nodded and began wrapping a roasted chicken.
“Excuse me,” Louise said, “I asked for free-range.”
“Oh sorry,” the butcher replied, “we’re all out.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	58.00006062499597	0	58.000061874990934	3	3.4863115416665096	True
2	0	left	4	3	14	1	"Joan took her dog, Zack, to the park and threw a stick for him. Pam, a neighbor, passed by and asked, “Want to walk home together?”
“Sure,” said Joan. She called Zack but he was busy chasing pigeons. “Nevermind, we’ll stay” Joan added."	Did Joan walk home with Pam?	Yes, No	2	control	10	4	1.25	True	0	15	113.0001510000002	0	113.00015195833112	3	1.989761916658608	True
2	1	left	4	3	14	1	Sophia baked a chocolate cake for her grandmother’s birthday. When her cousin Alex saw the cake, he said, “Oh great, cake! I love all cake apart from chocolate cake.” Sophia frowned and said, “Oh, it’s grandma’s favorite.”	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	128.00003224999818	0	128.0000331249903	4	3.437887458334444	True
3	0	left	4	3	14	1	"Jeanette gave Anne a crystal bowl as a wedding gift. A year later, at Anne’s for dinner, Jeanette accidentally broke the bowl.
“I’m sorry,” Jeanette said.
“Don’t worry,” Anne replied. “I never liked it anyways. Someone gave it to me.”"	Did the bowl break?	Yes, No	1	control	10	4	1.25	True	0	15	8.000241041663685	0	8.000242000009166	4	1.6756141249934444	True
3	1	left	4	3	14	1	At the office, Jake saw his coworker Lily with a big smile. “Congrats on your promotion!” he said. Lily’s face fell. “I didn’t get it,” she replied. “Oh,” Jake muttered, and walked away.	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	23.000061208338593	0	23.00006279167428	4	1.684041000000434	True
