task_name	task_code	task_file	instruction_dur	start_time	end_time
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_13.tsv	5	3	38
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_13.tsv	5	38	73
temp_deviant	temp_deviant	temp_deviant_13.tsv	5	73	108
rest	rest	rest_13.tsv	5	108	143
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_13.tsv	5	143	178
faux_pas	faux_pas	faux_pas_13.tsv	5	178	213
visual_search	visrchsml	visual_search_13.tsv	5	213	248
movie	mov	movie_13.tsv	5	248	283
spatial_navigation	spatialnav	spatial_navigation_13.tsv	5	283	318
verb_generation	vrbgn-wrdrd	verb_generation_13.tsv	5	318	353
tongue_movement	tongue	tongue_movement_13.tsv	5	353	388
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_13.tsv	5	388	423
action_observation	acva-acvk	action_observation_13.tsv	5	423	466
