task_name	task_code	task_file	instruction_dur	start_time	end_time
verb_generation	vrbgn-wrdrd	verb_generation_11.tsv	5	3	38
tongue_movement	tongue	tongue_movement_11.tsv	5	38	73
movie	mov	movie_11.tsv	5	73	108
faux_pas	faux_pas	faux_pas_11.tsv	5	108	143
temp_deviant	temp_deviant	temp_deviant_11.tsv	5	143	178
rest	rest	rest_11.tsv	5	178	213
action_observation	acva-acvk	action_observation_11.tsv	5	213	248
visual_search	visrchsml	visual_search_11.tsv	5	248	283
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_11.tsv	5	283	318
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_11.tsv	5	318	353
spatial_navigation	spatialnav	spatial_navigation_11.tsv	5	353	388
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_11.tsv	5	388	423
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_11.tsv	5	423	466
