,story,question,filename,condition_name,story_dur,question_dur,trial_dur_correct,display_trial_feedback,trial_type,hand,trial_dur,iti_dur,run_number,display_trial_feedback,start_time,end_time
0,"Maria wakes up early to study
at the library. Her housemates
notice that she is not at breakfast
and presume that she is sleeping","In fact, Maria is studying in the library

False or True?",15b,belief,10,4,14.5,True,True,right,14,0.5,3,True,0.0,14.0
1,"In her prom picture, Laura
has braces on her teeth and long 
blond hair. Soon after the picture 
was taken, Laura's braces were removed","Today, Laura has straight teeth
and long blond hair

False or True?",16p,photo,10,4,14.5,True,True,right,14,0.5,3,True,14.5,28.5
